index,term,idf
0,"i",1.9785
1,"to",2.19204
2,"you",2.23515
3,"a",2.58957
4,"the",2.66077
5,"in",2.91591
6,"u",2.92085
7,"and",2.92747
8,"is",3.01237
9,"me",3.09136
10,"my",3.13946
11,"for",3.16021
12,"it",3.2207
13,"your",3.22741
14,"of",3.32631
15,"have",3.32879
16,"that",3.32879
17,"s",3.35392
18,"call",3.40615
19,"now",3.41964
20,"on",3.44999
21,"are",3.5136
22,"can",3.55629
23,"so",3.55941
24,"2",3.56567
25,"t",3.56567
26,"but",3.57515
27,"not",3.59438
28,"m",3.60088
29,"at",3.64415
30,"or",3.67524
31,"be",3.67875
32,"just",3.7146
33,"get",3.72192
34,"we",3.74048
35,"do",3.74423
36,"will",3.74423
37,"if",3.78255
38,"no",3.79434
39,"this",3.81027
40,"with",3.82647
41,"up",3.85126
42,"4",3.88965
43,"how",3.91163
44,"from",3.95245
45,"ur",3.95245
46,"go",3.99019
47,"what",3.99501
48,"when",4.00961
49,"all",4.03946
50,"know",4.07023
51,"ok",4.07545
52,"out",4.08598
53,"good",4.11824
54,"gt",4.12923
55,"ll",4.13477
56,"lt",4.14034
57,"got",4.15158
58,"like",4.16867
59,"then",4.17443
60,"there",4.19193
61,"free",4.22786
62,"come",4.23398
63,"am",4.24013
64,"time",4.27148
65,"only",4.31045
66,"its",4.32378
67,"was",4.33051
68,"day",4.34412
69,"want",4.35791
70,"send",4.43738
71,"he",4.44492
72,"going",4.46019
73,"love",4.46791
74,"by",4.49941
75,"text",4.50744
76,"see",4.51554
77,"about",4.52371
78,"home",4.52371
79,"need",4.53194
80,"one",4.53194
81,"still",4.56555
82,"today",4.57414
83,"take",4.60923
84,"as",4.6182
85,"don",4.6182
86,"back",4.62725
87,"1",4.63638
88,"lor",4.63638
89,"txt",4.64559
90,"r",4.68334
91,"tell",4.68334
92,"think",4.68334
93,"our",4.693
94,"please",4.71261
95,"reply",4.71261
96,"any",4.72256
97,"new",4.72256
98,"dont",4.74276
99,"here",4.75302
100,"sorry",4.75302
101,"did",4.76338
102,"phone",4.76338
103,"stop",4.76338
104,"hey",4.78443
105,"n",4.78443
106,"da",4.80594
107,"they",4.81687
108,"too",4.81687
109,"where",4.81687
110,"hope",4.82792
111,"hi",4.83909
112,"well",4.83909
113,"been",4.85039
114,"c",4.85039
115,"mobile",4.85039
116,"re",4.85039
117,"k",4.87338
118,"some",4.87338
119,"an",4.88507
120,"she",4.89691
121,"week",4.89691
122,"oh",4.90889
123,"him",4.92101
124,"night",4.93328
125,"much",4.9457
126,"more",4.95828
127,"great",4.97102
128,"has",4.98392
129,"msg",4.98392
130,"wat",4.98392
131,"yeah",4.98392
132,"make",4.99699
133,"claim",5.01024
134,"give",5.01024
135,"yes",5.01024
136,"later",5.02366
137,"had",5.03727
138,"her",5.03727
139,"dear",5.05106
140,"way",5.05106
141,"ask",5.06505
142,"number",5.06505
143,"e",5.07923
144,"ve",5.09362
145,"who",5.09362
146,"work",5.09362
147,"already",5.12303
148,"doing",5.12303
149,"should",5.12303
150,"why",5.12303
151,"won",5.12303
152,"3",5.13807
153,"d",5.13807
154,"message",5.13807
155,"after",5.15334
156,"pls",5.15334
157,"really",5.15334
158,"www",5.16884
159,"find",5.18459
160,"im",5.18459
161,"babe",5.20059
162,"happy",5.20059
163,"thanks",5.20059
164,"b",5.21685
165,"let",5.21685
166,"tomorrow",5.21685
167,"meet",5.23338
168,"right",5.23338
169,"said",5.23338
170,"say",5.23338
171,"anything",5.25019
172,"cos",5.25019
173,"last",5.25019
174,"them",5.25019
175,"morning",5.26728
176,"prize",5.28467
177,"sure",5.28467
178,"something",5.30237
179,"again",5.32039
180,"also",5.33874
181,"care",5.33874
182,"over",5.35743
183,"150p",5.37648
184,"keep",5.37648
185,"life",5.37648
186,"lol",5.37648
187,"sent",5.37648
188,"miss",5.3959
189,"before",5.4157
190,"cash",5.4157
191,"first",5.4157
192,"urgent",5.4157
193,"wait",5.4157
194,"money",5.43591
195,"thing",5.43591
196,"would",5.43591
197,"next",5.45653
198,"off",5.45653
199,"pick",5.45653
200,"uk",5.45653
201,"very",5.45653
202,"were",5.45653
203,"com",5.47758
204,"contact",5.47758
205,"could",5.47758
206,"his",5.47758
207,"late",5.47758
208,"soon",5.47758
209,"us",5.47758
210,"win",5.47758
211,"buy",5.49908
212,"every",5.49908
213,"feel",5.49908
214,"gonna",5.49908
215,"min",5.49908
216,"someone",5.49908
217,"always",5.52106
218,"around",5.52106
219,"even",5.52106
220,"leave",5.52106
221,"which",5.52106
222,"tonight",5.54354
223,"50",5.56653
224,"didn",5.56653
225,"done",5.56653
226,"gud",5.56653
227,"per",5.56653
228,"place",5.56653
229,"same",5.56653
230,"sleep",5.56653
231,"yet",5.56653
232,"coming",5.59006
233,"down",5.59006
234,"getting",5.59006
235,"nice",5.59006
236,"other",5.59006
237,"waiting",5.59006
238,"wan",5.59006
239,"cant",5.61415
240,"help",5.61415
241,"many",5.61415
242,"thought",5.61415
243,"amp",5.63885
244,"customer",5.63885
245,"fine",5.63885
246,"thk",5.63885
247,"try",5.63885
248,"dun",5.66416
249,"friend",5.66416
250,"people",5.66416
251,"service",5.66416
252,"16",5.69014
253,"bit",5.69014
254,"haha",5.69014
255,"nokia",5.69014
256,"told",5.69014
257,"yup",5.69014
258,"18",5.71681
259,"5",5.71681
260,"6",5.71681
261,"best",5.71681
262,"class",5.74421
263,"few",5.74421
264,"job",5.74421
265,"may",5.74421
266,"never",5.74421
267,"v",5.74421
268,"x",5.74421
269,"ya",5.74421
270,"cool",5.77238
271,"friends",5.77238
272,"hello",5.77238
273,"stuff",5.77238
274,"things",5.77238
275,"went",5.77238
276,"wish",5.77238
277,"better",5.80137
278,"holiday",5.80137
279,"sms",5.80137
280,"talk",5.80137
281,"y",5.80137
282,"10",5.83122
283,"cs",5.83122
284,"days",5.83122
285,"enjoy",5.83122
286,"finish",5.83122
287,"ill",5.83122
288,"lar",5.83122
289,"line",5.83122
290,"mins",5.83122
291,"name",5.83122
292,"person",5.83122
293,"ready",5.83122
294,"shit",5.83122
295,"trying",5.83122
296,"wanna",5.83122
297,"year",5.83122
298,"chat",5.86199
299,"co",5.86199
300,"dinner",5.86199
301,"guess",5.86199
302,"half",5.86199
303,"liao",5.86199
304,"meeting",5.86199
305,"use",5.86199
306,"box",5.89374
307,"car",5.89374
308,"check",5.89374
309,"cost",5.89374
310,"long",5.89374
311,"man",5.89374
312,"mind",5.89374
313,"special",5.89374
314,"than",5.89374
315,"tone",5.89374
316,"account",5.92653
317,"having",5.92653
318,"into",5.92653
319,"left",5.92653
320,"lot",5.92653
321,"month",5.92653
322,"nothing",5.92653
323,"real",5.92653
324,"thats",5.92653
325,"7",5.96043
326,"ah",5.96043
327,"dat",5.96043
328,"draw",5.96043
329,"eat",5.96043
330,"guaranteed",5.96043
331,"house",5.96043
332,"lunch",5.96043
333,"play",5.96043
334,"room",5.96043
335,"another",5.99552
336,"being",5.99552
337,"end",5.99552
338,"shows",5.99552
339,"bad",6.03189
340,"big",6.03189
341,"didnt",6.03189
342,"landline",6.03189
343,"look",6.03189
344,"maybe",6.03189
345,"might",6.03189
346,"offer",6.03189
347,"probably",6.03189
348,"remember",6.03189
349,"sat",6.03189
350,"shopping",6.03189
351,"sweet",6.03189
352,"weekend",6.03189
353,"wk",6.03189
354,"xxx",6.03189
355,"1000",6.06963
356,"actually",6.06963
357,"anyway",6.06963
358,"chance",6.06963
359,"code",6.06963
360,"haven",6.06963
361,"jus",6.06963
362,"live",6.06963
363,"once",6.06963
364,"problem",6.06963
365,"quite",6.06963
366,"start",6.06963
367,"wont",6.06963
368,"word",6.06963
369,"100",6.10885
370,"500",6.10885
371,"aight",6.10885
372,"baby",6.10885
373,"because",6.10885
374,"den",6.10885
375,"fuck",6.10885
376,"guys",6.10885
377,"hear",6.10885
378,"looking",6.10885
379,"pay",6.10885
380,"princess",6.10885
381,"reach",6.10885
382,"shall",6.10885
383,"town",6.10885
384,"150ppm",6.14967
385,"bt",6.14967
386,"bus",6.14967
387,"early",6.14967
388,"easy",6.14967
389,"forgot",6.14967
390,"heart",6.14967
391,"hour",6.14967
392,"join",6.14967
393,"juz",6.14967
394,"kiss",6.14967
395,"latest",6.14967
