threshold,precision,recall
0,0.109453,1
0.01,0.110553,1
0.02,0.124294,1
0.03,0.144737,1
0.04,0.188034,1
0.05,0.23913,1
0.06,0.323529,1
0.07,0.385965,1
0.08,0.44,1
0.09,0.488889,1
0.1,0.52381,1
0.11,0.578947,1
0.12,0.594595,1
0.13,0.647059,1
0.14,0.6875,1
0.15,0.709677,1
0.16,0.758621,1
0.17,0.758621,1
0.18,0.807692,0.954545
0.19,0.84,0.954545
0.2,0.875,0.954545
0.21,0.875,0.954545
0.22,0.913043,0.954545
0.23,0.913043,0.954545
0.24,0.954545,0.954545
0.25,0.952381,0.909091
0.26,0.952381,0.909091
0.27,0.952381,0.909091
0.28,0.952381,0.909091
0.29,0.95,0.863636
0.3,0.95,0.863636
0.31,1,0.863636
0.32,1,0.863636
0.33,1,0.863636
0.34,1,0.863636
0.35,1,0.818182
0.36,1,0.772727
0.37,1,0.681818
0.38,1,0.681818
0.39,1,0.681818
0.4,1,0.681818
0.41,1,0.681818
0.42,1,0.681818
0.43,1,0.636364
0.44,1,0.636364
0.45,1,0.636364
0.46,1,0.636364
0.47,1,0.636364
0.48,1,0.636364
0.49,1,0.636364
0.5,1,0.590909
0.51,1,0.5
0.52,1,0.5
0.53,1,0.454545
0.54,1,0.409091
0.55,1,0.409091
0.56,1,0.409091
0.57,1,0.409091
0.58,1,0.409091
0.59,1,0.363636
0.6,1,0.318182
0.61,1,0.318182
0.62,1,0.318182
0.63,1,0.272727
0.64,1,0.272727
0.65,1,0.272727
0.66,1,0.272727
0.67,1,0.227273
0.68,1,0.136364
0.69,1,0.136364
0.7,1,0.0909091
0.71,1,0.0909091
0.72,1,0.0909091
0.73,1,0.0454545
0.74,1,0.0454545
0.75,1,0.0454545
0.76,1,0.0454545
0.77,1,0.0454545
0.78,1,0.0454545
0.79,1,0.0454545
0.8,1,0.0454545
0.81,0,0
0.82,0,0
0.83,0,0
0.84,0,0
0.85,0,0
0.86,0,0
0.87,0,0
0.88,0,0
0.89,0,0
0.9,0,0
0.91,0,0
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
