user,rank,item,score
1,1,294,396
1,2,288,383
1,3,286,370
1,4,300,315
1,5,405,291
1,6,423,251
1,7,748,250
1,8,276,247
1,9,111,236
1,10,318,236
3,1,50,473
3,2,181,423
3,3,100,417
3,4,1,374
3,5,286,370
3,6,121,366
3,7,174,341
3,8,127,332
3,9,56,329
3,10,7,328
4,1,50,473
4,2,181,423
4,3,100,417
4,4,294,396
4,5,258,394
4,6,288,383
4,7,1,374
4,8,286,370
4,9,121,366
4,10,174,341
7,1,50,473
7,2,181,423
7,3,100,417
7,4,294,396
7,5,258,394
7,6,288,383
7,7,1,374
7,8,286,370
7,9,121,366
7,10,174,341
11,1,50,473
11,2,181,423
11,3,100,417
11,4,294,396
11,5,258,394
11,6,288,383
11,7,1,374
11,8,286,370
11,9,121,366
11,10,174,341
13,1,151,270
13,2,15,252
13,3,257,252
13,4,742,228
13,5,269,209
13,6,125,208
13,7,186,205
13,8,282,197
13,9,245,183
13,10,496,179
14,1,50,473
14,2,181,423
14,3,294,396
14,4,258,394
14,5,1,374
14,6,286,370
14,7,174,341
14,8,237,321
14,9,117,319
14,10,300,315
26,1,50,473
26,2,181,423
26,3,100,417
26,4,294,396
26,5,258,394
26,6,288,383
26,7,1,374
26,8,286,370
26,9,121,366
26,10,174,341
27,1,50,473
27,2,181,423
27,3,100,417
27,4,294,396
27,5,258,394
27,6,288,383
27,7,1,374
27,8,286,370
27,9,121,366
27,10,174,341
33,1,50,473
33,2,181,423
33,3,100,417
33,4,294,396
33,5,258,394
33,6,288,383
33,7,1,374
33,8,286,370
33,9,121,366
33,10,174,341
38,1,50,473
38,2,181,423
38,3,100,417
38,4,294,396
38,5,258,394
38,6,288,383
38,7,1,374
38,8,286,370
38,9,121,366
38,10,174,341
39,1,50,473
39,2,181,423
39,3,100,417
39,4,294,396
39,5,258,394
39,6,288,383
39,7,1,374
39,8,286,370
39,9,121,366
39,10,174,341
41,1,50,473
41,2,181,423
41,3,100,417
41,4,294,396
41,5,258,394
41,6,288,383
41,7,1,374
41,8,286,370
41,9,121,366
41,10,174,341
43,1,288,383
43,2,748,250
43,3,195,248
43,4,96,240
43,5,22,236
43,6,176,233
43,7,183,232
43,8,234,230
43,9,89,223
43,10,475,219
54,1,294,396
54,2,286,370
54,3,174,341
54,4,56,329
54,5,300,315
54,6,98,313
54,7,222,310
54,8,172,299
54,9,204,290
54,10,79,275
56,1,50,473
56,2,181,423
56,3,100,417
56,4,294,396
56,5,258,394
56,6,288,383
56,7,1,374
56,8,286,370
56,9,121,366
56,10,174,341
58,1,294,396
58,2,258,394
58,3,288,383
58,4,286,370
58,5,121,366
58,6,117,319
58,7,405,291
58,8,79,275
58,9,168,255
58,10,15,252
60,1,100,417
60,2,294,396
60,3,258,394
60,4,288,383
60,5,1,374
60,6,127,332
60,7,117,319
60,8,300,315
60,9,25,252
60,10,118,252
61,1,50,473
61,2,181,423
61,3,100,417
61,4,294,396
61,5,258,394
61,6,288,383
61,7,1,374
61,8,286,370
61,9,121,366
61,10,174,341
64,1,50,473
64,2,181,423
64,3,294,396
64,4,286,370
64,5,121,366
64,6,174,341
64,7,56,329
64,8,7,328
64,9,237,321
64,10,117,319
79,1,50,473
79,2,181,423
79,3,100,417
79,4,294,396
79,5,258,394
79,6,288,383
79,7,1,374
79,8,286,370
79,9,121,366
79,10,174,341
83,1,100,417
83,2,258,394
83,3,288,383
83,4,286,370
83,5,7,328
83,6,237,321
83,7,98,313
83,8,222,310
83,9,172,299
83,10,173,266
85,1,294,396
85,2,288,383
85,3,1,374
85,4,7,328
85,5,117,319
85,6,151,270
85,7,15,252
85,8,118,252
85,9,257,252
85,10,748,250
88,1,50,473
88,2,181,423
88,3,100,417
88,4,294,396
88,5,258,394
88,6,288,383
88,7,1,374
88,8,286,370
88,9,121,366
88,10,174,341
90,1,50,473
90,2,181,423
90,3,100,417
90,4,294,396
90,5,258,394
90,6,288,383
90,7,1,374
90,8,286,370
90,9,121,366
90,10,174,341
91,1,50,473
91,2,181,423
91,3,100,417
91,4,294,396
91,5,258,394
91,6,288,383
91,7,1,374
91,8,286,370
91,9,121,366
91,10,174,341
92,1,286,370
92,2,127,332
92,3,300,315
92,4,151,270
92,5,748,250
92,6,275,219
92,7,302,215
92,8,357,211
92,9,97,209
92,10,269,209
94,1,50,473
94,2,294,396
94,3,258,394
94,4,286,370
94,5,121,366
94,6,56,329
94,7,237,321
94,8,117,319
94,9,300,315
94,10,98,313
100,1,50,473
100,2,181,423
100,3,100,417
100,4,294,396
100,5,258,394
100,6,288,383
100,7,1,374
100,8,286,370
100,9,121,366
100,10,174,341
102,1,100,417
102,2,237,321
102,3,151,270
102,4,69,267
102,5,15,252
102,6,25,252
102,7,257,252
102,8,423,251
102,9,9,250
102,10,276,247
107,1,50,473
107,2,181,423
107,3,100,417
107,4,294,396
107,5,258,394
107,6,288,383
107,7,1,374
107,8,286,370
107,9,121,366
107,10,174,341
111,1,50,473
111,2,181,423
111,3,100,417
111,4,294,396
111,5,258,394
111,6,288,383
111,7,1,374
111,8,286,370
111,9,121,366
111,10,174,341
112,1,50,473
112,2,181,423
112,3,100,417
112,4,288,383
112,5,1,374
112,6,121,366
112,7,174,341
112,8,127,332
112,9,56,329
112,10,7,328
116,1,100,417
116,2,1,374
116,3,121,366
116,4,174,341
116,5,237,321
116,6,117,319
116,7,98,313
116,8,222,310
116,9,172,299
116,10,405,291
119,1,294,396
119,2,1,374
119,3,127,332
119,4,98,313
119,5,79,275
119,6,151,270
119,7,69,267
119,8,173,266
119,9,15,252
119,10,118,252
120,1,50,473
120,2,181,423
120,3,100,417
120,4,294,396
120,5,258,394
120,6,288,383
120,7,1,374
120,8,286,370
120,9,121,366
120,10,174,341
121,1,50,473
121,2,181,423
121,3,100,417
121,4,294,396
121,5,258,394
121,6,288,383
121,7,1,374
121,8,286,370
121,9,121,366
121,10,174,341
124,1,50,473
124,2,181,423
124,3,100,417
124,4,294,396
124,5,258,394
124,6,288,383
124,7,1,374
124,8,286,370
124,9,121,366
124,10,174,341
125,1,50,473
125,2,100,417
125,3,294,396
125,4,258,394
125,5,288,383
125,6,286,370
125,7,121,366
125,8,127,332
125,9,7,328
125,10,237,321
132,1,50,473
