user,rank,item,score
23,1,117,53
23,2,121,45
23,3,258,44
23,4,294,43
23,5,118,42
23,6,237,42
23,7,222,39
23,8,257,39
23,9,288,39
23,10,15,37
81,1,181,68
81,2,50,64
81,3,100,56
81,4,117,53
81,5,7,51
81,6,1,50
81,7,56,48
81,8,174,46
81,9,98,45
81,10,121,45
82,1,181,68
82,2,50,64
82,3,100,56
82,4,117,53
82,5,7,51
82,6,1,50
82,7,56,48
82,8,174,46
82,9,98,45
82,10,121,45
92,1,258,44
92,2,151,39
92,3,222,39
92,4,288,39
92,5,127,35
92,6,300,35
92,7,286,33
92,8,742,33
92,9,357,29
92,10,97,28
116,1,181,68
116,2,50,64
116,3,100,56
116,4,117,53
116,5,7,51
116,6,1,50
116,7,56,48
116,8,174,46
116,9,98,45
116,10,121,45
130,1,121,45
130,2,151,39
130,3,15,37
130,4,127,35
130,5,742,33
130,6,25,32
130,7,9,31
130,8,135,31
130,9,176,29
130,10,546,29
160,1,181,68
160,2,50,64
160,3,100,56
160,4,117,53
160,5,7,51
160,6,1,50
160,7,56,48
160,8,174,46
160,9,98,45
160,10,121,45
182,1,181,68
182,2,50,64
182,3,100,56
182,4,117,53
182,5,7,51
182,6,1,50
182,7,56,48
182,8,174,46
182,9,98,45
182,10,121,45
195,1,50,64
195,2,117,53
195,3,7,51
195,4,1,50
195,5,56,48
195,6,174,46
195,7,98,45
195,8,121,45
195,9,258,44
195,10,294,43
207,1,181,68
207,2,50,64
207,3,7,51
207,4,1,50
207,5,174,46
207,6,258,44
207,7,118,42
207,8,237,42
207,9,151,39
207,10,222,39
221,1,1,50
221,2,98,45
221,3,294,43
221,4,237,42
221,5,15,37
221,6,235,36
221,7,127,35
221,8,300,35
221,9,28,34
221,10,183,34
233,1,181,68
233,2,100,56
233,3,117,53
233,4,7,51
233,5,1,50
233,6,56,48
233,7,174,46
233,8,98,45
233,9,121,45
233,10,258,44
259,1,50,64
259,2,100,56
259,3,7,51
259,4,1,50
259,5,56,48
259,6,174,46
259,7,121,45
259,8,258,44
259,9,294,43
259,10,118,42
268,1,7,51
268,2,258,44
268,3,294,43
268,4,118,42
268,5,237,42
268,6,15,37
268,7,64,36
268,8,300,35
268,9,28,34
268,10,96,34
286,1,100,56
286,2,117,53
286,3,1,50
286,4,56,48
286,5,174,46
286,6,98,45
286,7,121,45
286,8,258,44
286,9,294,43
286,10,118,42
289,1,181,68
289,2,50,64
289,3,100,56
289,4,117,53
289,5,7,51
289,6,1,50
289,7,56,48
289,8,174,46
289,9,98,45
289,10,121,45
297,1,121,45
297,2,15,37
297,3,64,36
297,4,127,35
297,5,172,35
297,6,96,34
297,7,9,31
297,8,405,31
297,9,71,30
297,10,161,29
