user,rank,item,predicted_rating
1,1,1653,5
1,2,1654,4.77863
1,3,1646,4.49216
1,4,1533,4.41348
1,5,711,4.41047
1,6,1144,4.40877
1,7,1525,4.40714
1,8,1005,4.40152
1,9,285,4.39051
1,10,856,4.38783
13,1,1122,4.23694
13,2,1158,4.18659
13,3,479,4.14151
13,4,1524,4.13622
13,5,1536,4.12246
13,6,963,4.12143
13,7,1593,4.11801
13,8,1449,4.10633
13,9,134,4.10056
13,10,1397,4.1
100,1,1064,4.43587
100,2,1619,4.40889
100,3,1201,4.26954
100,4,638,4.26502
100,5,528,4.21456
100,6,196,4.12707
100,7,487,4.11327
100,8,498,4.10815
100,9,483,4.09186
100,10,496,4.0914
405,1,1236,5
405,2,1654,5
405,3,1235,4
405,4,1127,3.06269
405,5,272,3.05991
405,6,496,3.04104
405,7,144,3.00705
405,8,1450,2.97288
405,9,1,2.93101
405,10,963,2.91915
