user,rank,item,score
1,1,711,5
1,2,814,5
1,3,970,5
1,4,1068,5
1,5,1326,5
1,6,1347,5
1,7,1656,5
1,8,645,4.79395
1,9,1388,4.78826
1,10,311,4.78222
3,1,64,4.4447
3,2,483,4.42947
3,3,169,4.42363
3,4,318,4.39909
3,5,50,4.33784
3,6,12,4.33267
3,7,603,4.31622
3,8,98,4.30395
3,9,127,4.28122
3,10,134,4.26167
4,1,64,4.4447
4,2,408,4.444
4,3,483,4.42947
4,4,169,4.42363
4,5,318,4.39909
4,6,313,4.35154
4,7,50,4.33784
4,8,12,4.33267
4,9,603,4.31622
4,10,98,4.30395
7,1,64,4.4447
7,2,408,4.444
7,3,483,4.42947
7,4,169,4.42363
7,5,318,4.39909
7,6,313,4.35154
7,7,50,4.33784
7,8,12,4.33267
7,9,603,4.31622
7,10,98,4.30395
11,1,64,4.4447
11,2,408,4.444
11,3,483,4.42947
11,4,169,4.42363
11,5,318,4.39909
11,6,313,4.35154
11,7,50,4.33784
11,8,12,4.33267
11,9,603,4.31622
11,10,98,4.30395
13,1,1347,5
13,2,1350,5
13,3,1380,5
13,4,1358,4.75602
13,5,1535,4.71717
13,6,1104,4.68196
13,7,1367,4.65334
13,8,1252,4.58892
13,9,1628,4.52623
13,10,134,4.43797
14,1,30,5
14,2,35,5
14,3,46,5
14,4,49,5
14,5,66,5
14,6,74,5
14,7,97,5
14,8,99,5
14,9,139,5
14,10,140,5
26,1,64,4.4447
26,2,408,4.444
26,3,483,4.42947
26,4,169,4.42363
26,5,318,4.39909
26,6,313,4.35154
26,7,50,4.33784
26,8,12,4.33267
26,9,603,4.31622
26,10,98,4.30395
27,1,64,4.4447
27,2,408,4.444
27,3,483,4.42947
27,4,169,4.42363
27,5,318,4.39909
27,6,313,4.35154
27,7,50,4.33784
27,8,12,4.33267
27,9,603,4.31622
27,10,98,4.30395
33,1,64,4.4447
33,2,408,4.444
33,3,483,4.42947
33,4,169,4.42363
33,5,318,4.39909
33,6,313,4.35154
33,7,50,4.33784
33,8,12,4.33267
33,9,603,4.31622
33,10,98,4.30395
38,1,64,4.4447
38,2,408,4.444
38,3,483,4.42947
38,4,169,4.42363
38,5,318,4.39909
38,6,313,4.35154
38,7,50,4.33784
38,8,12,4.33267
38,9,603,4.31622
38,10,98,4.30395
39,1,64,4.4447
39,2,408,4.444
39,3,483,4.42947
39,4,169,4.42363
39,5,318,4.39909
39,6,313,4.35154
39,7,50,4.33784
39,8,12,4.33267
39,9,603,4.31622
39,10,98,4.30395
41,1,64,4.4447
41,2,408,4.444
41,3,483,4.42947
41,4,169,4.42363
41,5,318,4.39909
41,6,313,4.35154
41,7,50,4.33784
41,8,12,4.33267
41,9,603,4.31622
41,10,98,4.30395
43,1,360,5
43,2,1097,5
43,3,1104,5
43,4,1252,5
43,5,1266,5
43,6,1499,5
43,7,1656,5
43,8,1513,4.73051
43,9,188,4.65818
43,10,945,4.6335
54,1,4,5
54,2,6,5
54,3,10,5
54,4,57,5
54,5,60,5
54,6,61,5
54,7,65,5
54,8,66,5
54,9,72,5
54,10,76,5
56,1,64,4.4447
56,2,408,4.444
56,3,483,4.42947
56,4,169,4.42363
56,5,318,4.39909
56,6,313,4.35154
56,7,50,4.33784
56,8,12,4.33267
56,9,603,4.31622
56,10,98,4.30395
58,1,17,5
58,2,107,5
58,3,281,5
58,4,337,5
58,5,348,5
58,6,360,5
58,7,374,5
58,8,532,5
58,9,534,5
58,10,541,5
60,1,296,5
60,2,583,5
60,3,879,5
60,4,904,5
60,5,906,5
60,6,909,5
60,7,1038,5
60,8,1102,5
60,9,1104,5
60,10,1196,5
61,1,64,4.4447
61,2,408,4.444
61,3,483,4.42947
61,4,169,4.42363
61,5,318,4.39909
61,6,313,4.35154
61,7,50,4.33784
61,8,12,4.33267
61,9,603,4.31622
61,10,98,4.30395
64,1,18,5
64,2,32,5
64,3,52,5
64,4,177,5
64,5,207,5
64,6,242,5
64,7,248,5
64,8,253,5
64,9,435,5
64,10,459,5
79,1,64,4.4447
79,2,408,4.444
79,3,483,4.42947
79,4,169,4.42363
79,5,318,4.39909
79,6,313,4.35154
79,7,50,4.33784
79,8,12,4.33267
79,9,603,4.31622
79,10,98,4.30395
83,1,30,5
83,2,32,5
83,3,60,5
83,4,348,5
83,5,430,5
83,6,516,5
83,7,519,5
83,8,524,5
83,9,525,5
83,10,529,5
85,1,777,5
85,2,1224,5
85,3,1386,5
85,4,1439,5
85,5,1474,5
85,6,1388,4.77288
85,7,1615,4.57066
85,8,360,4.46708
85,9,430,4.37391
85,10,850,4.34679
88,1,64,4.4447
88,2,408,4.444
88,3,483,4.42947
88,4,169,4.42363
88,5,318,4.39909
88,6,313,4.35154
88,7,50,4.33784
88,8,12,4.33267
88,9,603,4.31622
88,10,98,4.30395
90,1,64,4.4447
90,2,408,4.444
90,3,483,4.42947
90,4,169,4.42363
90,5,318,4.39909
90,6,313,4.35154
90,7,50,4.33784
90,8,12,4.33267
90,9,603,4.31622
90,10,98,4.30395
91,1,64,4.4447
91,2,408,4.444
91,3,483,4.42947
91,4,169,4.42363
91,5,318,4.39909
91,6,313,4.35154
91,7,50,4.33784
91,8,12,4.33267
91,9,603,4.31622
91,10,98,4.30395
92,1,814,5
92,2,1293,5
92,3,1237,4.76866
92,4,1326,4.58602
92,5,1137,4.5409
92,6,489,4.48076
92,7,262,4.47494
92,8,479,4.46175
92,9,1537,4.41021
92,10,868,4.40106
94,1,36,5
94,2,39,5
94,3,40,5
94,4,46,5
94,5,51,5
94,6,126,5
94,7,139,5
94,8,149,5
94,9,167,5
94,10,212,5
100,1,64,4.4447
100,2,408,4.444
100,3,483,4.42947
100,4,169,4.42363
100,5,318,4.39909
100,6,313,4.35154
100,7,50,4.33784
100,8,12,4.33267
100,9,603,4.31622
100,10,98,4.30395
102,1,487,4.02178
102,2,1024,4
102,3,1211,4
102,4,1397,4
102,5,1599,4
102,6,1628,4
102,7,1275,3.76366
102,8,119,3.75557
102,9,1643,3.70584
102,10,1642,3.68133
107,1,64,4.4447
107,2,408,4.444
107,3,483,4.42947
107,4,169,4.42363
107,5,318,4.39909
107,6,313,4.35154
107,7,50,4.33784
107,8,12,4.33267
107,9,603,4.31622
107,10,98,4.30395
111,1,64,4.4447
111,2,408,4.444
111,3,483,4.42947
111,4,169,4.42363
111,5,318,4.39909
111,6,313,4.35154
111,7,50,4.33784
