user,relevant_count,hits_at_10,recall_at_10,ndcg_at_10
1,4,0,0,0
3,13,1,0.0769231,0.0947884
4,19,1,0.0526316,0.0733639
7,274,7,0.0255474,0.687951
11,86,2,0.0232558,0.151397
13,9,0,0,0
14,29,0,0,0
26,23,2,0.0869565,0.151762
27,9,0,0,0
33,16,1,0.0625,0.0783983
38,74,1,0.0135135,0.0783983
39,14,1,0.0714286,0.0783983
41,36,3,0.0833333,0.222128
43,3,0,0,0
54,7,0,0,0
56,114,6,0.0526316,0.700773
58,13,0,0,0
60,1,0,0,0
61,7,0,0,0
64,107,1,0.00934579,0.0662542
79,38,1,0.0263158,0.0733639
83,1,0,0,0
85,2,0,0,0
88,14,0,0,0
90,240,7,0.0291667,0.692985
91,72,7,0.0972222,0.696918
92,5,0,0,0
94,170,0,0,0
100,22,1,0.0454545,0.0783983
102,2,0,0,0
107,8,0,0,0
111,14,1,0.0714286,0.0783983
112,6,0,0,0
116,1,0,0,0
119,7,1,0.142857,0.106337
120,16,1,0.0625,0.0733639
121,44,5,0.113636,0.369957
124,12,1,0.0833333,0.0636208
125,34,1,0.0294118,0.0851431
132,14,1,0.0714286,0.0694312
133,10,0,0,0
134,15,1,0.0666667,0.0783983
145,1,0,0,0
146,18,1,0.0555556,0.0783983
152,2,0,0,0
159,4,0,0,0
161,10,1,0.1,0.0636208
163,10,3,0.3,0.368856
164,50,1,0.02,0.0783983
167,40,2,0.05,0.151397
169,24,2,0.0833333,0.139618
171,15,1,0.0666667,0.0783983
174,4,0,0,0
178,3,0,0,0
179,20,1,0.05,0.0783983
183,20,1,0.05,0.110046
184,146,6,0.0410959,0.630664
186,15,1,0.0666667,0.0662542
189,134,4,0.0298507,0.334807
190,27,1,0.037037,0.0783983
191,14,1,0.0714286,0.0783983
193,9,0,0,0
195,5,0,0,0
197,54,2,0.037037,0.151762
200,2,0,0,0
204,22,2,0.0909091,0.154574
207,3,0,0,0
210,6,0,0,0
214,91,9,0.0989011,0.926636
215,58,5,0.0862069,0.545521
219,19,0,0,0
223,42,2,0.047619,0.163541
228,9,1,0.111111,0.0837249
229,11,0,0,0
233,2,0,0,0
234,158,7,0.0443038,0.696918
235,78,3,0.0384615,0.268553
236,63,5,0.0793651,0.5573
247,19,2,0.105263,0.293456
252,19,0,0,0
253,69,6,0.0869565,0.621697
260,17,1,0.0588235,0.0783983
261,20,0,0,0
263,93,5,0.0537634,0.552265
266,11,1,0.0909091,0.0783983
269,139,5,0.0359712,0.545156
273,13,0,0,0
276,10,0,0,0
278,18,3,0.166667,0.208273
279,37,0,0,0
280,129,4,0.0310078,0.328241
285,24,1,0.0416667,0.0783983
286,17,0,0,0
294,21,0,0,0
299,43,0,0,0
312,179,6,0.0335196,0.546936
313,141,6,0.0425532,0.61852
317,13,1,0.0769231,0.0783983
319,3,0,0,0
325,70,4,0.0571429,0.385893
328,3,0,0,0
329,32,6,0.1875,0.489648
332,5,0,0,0
333,19,2,0.105263,0.173667
334,189,9,0.047619,0.779908
335,13,0,0,0
339,187,6,0.0320856,0.602808
341,13,0,0,0
344,24,0,0,0
353,14,1,0.0714286,0.0783983
354,141,3,0.0212766,0.249664
356,14,1,0.0714286,0.0783983
358,27,1,0.037037,0.0851431
363,126,6,0.047619,0.521098
365,32,0,0,0
368,19,2,0.105263,0.151762
369,15,1,0.0666667,0.0733639
377,21,2,0.0952381,0.142019
378,15,0,0,0
379,10,0,0,0
381,84,3,0.0357143,0.268553
383,62,2,0.0322581,0.1763
384,20,1,0.05,0.0783983
392,86,4,0.0465116,0.310171
393,90,0,0,0
397,8,0,0,0
401,67,3,0.0447761,0.261443
407,8,0,0,0
408,16,1,0.0625,0.0783983
411,37,3,0.0810811,0.224761
416,197,8,0.0406091,0.857205
418,7,0,0,0
420,26,2,0.0769231,0.205117
421,43,4,0.0930233,0.27267
423,36,1,0.0277778,0.0783983
425,20,1,0.05,0.138862
428,2,0,0,0
432,39,2,0.0512821,0.151762
440,39,1,0.025641,0.0783983
441,11,1,0.0909091,0.0783983
444,16,2,0.125,0.151762
445,16,0,0,0
448,22,0,0,0
450,7,0,0,0
455,1,0,0,0
458,7,0,0,0
463,11,0,0,0
466,50,2,0.04,0.151762
471,16,0,0,0
472,53,1,0.0188679,0.0662542
475,13,1,0.0769231,0.0733639
478,58,4,0.0689655,0.438287
479,1,0,0,0
480,44,5,0.113636,0.367459
483,1,0,0,0
484,83,5,0.060241,0.40414
485,8,1,0.125,0.0901
488,80,4,0.05,0.44222
489,66,1,0.0151515,0.0783983
491,22,2,0.0909091,0.208294
499,2,0,0,0
500,1,0,0,0
503,2,0,0,0
504,2,0,0,0
505,47,1,0.0212766,0.0694312
506,2,0,0,0
507,54,2,0.037037,0.151762
511,17,1,0.0588235,0.0783983
514,1,0,0,0
516,16,2,0.125,0.168152
517,17,1,0.0588235,0.0733639
530,4,0,0,0
532,99,4,0.040404,0.434175
533,6,0,0,0
547,15,1,0.0666667,0.0783983
548,102,5,0.0490196,0.351068
551,232,6,0.0258621,0.582939
559,43,1,0.0232558,0.0851431
565,33,0,0,0
574,26,0,0,0
577,2,0,0,0
585,48,0,0,0
587,33,1,0.030303,0.0783983
588,140,5,0.0357143,0.416382
591,49,2,0.0408163,0.286346
603,33,3,0.0909091,0.221193
611,27,0,0,0
613,23,5,0.217391,0.514284
616,25,1,0.04,0.0783983
618,91,7,0.0769231,0.700095
620,71,3,0.0422535,0.215383
621,3,0,0,0
623,29,3,0.103448,0.249664
624,10,0,0,0
625,47,5,0.106383,0.483315
634,3,0,0,0
636,16,1,0.0625,0.0783983
639,51,2,0.0392157,0.173667
640,1,0,0,0
642,5,0,0,0
643,129,6,0.0465116,0.552746
645,89,4,0.0449438,0.332174
649,16,1,0.0625,0.0733639
650,96,5,0.0520833,0.391683
653,4,0,0,0
654,1,0,0,0
655,11,0,0,0
656,4,0,0,0
659,127,5,0.0393701,0.538411
660,47,5,0.106383,0.391683
661,1,0,0,0
663,83,7,0.0843373,0.656303
667,31,2,0.0645161,0.148764
668,4,0,0,0
669,47,6,0.12766,0.646402
675,23,1,0.0434783,0.0851431
676,53,6,0.113208,0.661831
677,25,0,0,0
683,28,0,0,0
699,3,0,0,0
701,27,2,0.0740741,0.151762
704,53,4,0.0754717,0.288382
707,3,0,0,0
708,27,0,0,0
711,4,0,0,0
714,20,1,0.05,0.0733639
720,23,0,0,0
722,25,0,0,0
726,8,0,0,0
729,8,0,0,0
734,44,6,0.136364,0.476826
738,28,0,0,0
741,51,3,0.0588235,0.215383
751,25,1,0.04,0.110046
752,34,0,0,0
753,36,5,0.138889,0.545521
758,1,0,0,0
766,67,2,0.0298507,0.158507
767,36,2,0.0555556,0.173667
775,18,1,0.0555556,0.0783983
776,54,5,0.0925926,0.398428
778,24,1,0.0416667,0.0636208
780,37,3,0.0810811,0.236905
782,49,1,0.0204082,0.0783983
784,27,1,0.037037,0.0783983
794,35,1,0.0285714,0.0733639
