source_row,timestamp,partition
215,874724710,train
83966,874724727,train
43028,874724754,train
21397,874724781,train
82656,874724843,train
1767,874724882,train
10892,874724882,train
26400,874724905,train
85298,874724937,train
160,874724988,train
11883,874725081,train
4030,874725120,train
76435,874725264,train
4335,874725386,train
3609,874725485,train
11393,874725485,train
97223,874728168,train
69247,874728338,train
93852,874728338,train
93871,874728370,train
58474,874728396,train
80968,874728396,train
62084,874728430,train
71181,874728461,train
68045,874728565,train
95118,874728598,train
55287,874729682,train
93443,874729682,train
85906,874729749,train
45495,874729750,train
73792,874729750,train
77650,874729750,train
45917,874729778,train
58917,874729778,train
46009,874729816,train
72505,874729816,train
53246,874729850,train
65077,874729850,train
92614,874729850,train
97555,874729850,train
47474,874729901,train
65954,874729901,train
77372,874729901,train
48595,874729935,train
54253,874729935,train
54373,874729935,train
56773,874729935,train
71839,874729935,train
85934,874729935,train
76841,874729960,train
53458,874729995,train
55261,874729995,train
93914,874729995,train
45737,874729996,train
48137,874729996,train
87087,874729996,train
47748,874730031,train
54716,874730031,train
57078,874730031,train
70792,874730031,train
76376,874730056,train
48971,874730085,train
69552,874730085,train
71740,874730085,train
78600,874730085,train
50386,874730155,train
51049,874730155,train
70140,874730155,train
81802,874730155,train
50720,874730179,train
47747,874730206,train
59196,874730206,train
80831,874730206,train
53265,874730234,train
65736,874730234,train
75008,874730234,train
98292,874730234,train
73742,874730235,train
46114,874730261,train
66071,874730261,train
71282,874730261,train
87334,874730261,train
50916,874730293,train
54072,874730293,train
68717,874730293,train
55144,874730320,train
82478,874730320,train
89754,874730320,train
49454,874730342,train
50524,874730370,train
51488,874730370,train
60050,874730370,train
75920,874730370,train
66443,874730396,train
79847,874730396,train
96284,874730396,train
56926,874730420,train
54977,874730443,train
59025,874730467,train
65650,874730467,train
73120,874730467,train
62322,874730490,train
49855,874730491,train
63671,874730491,train
84631,874730491,train
58563,874730520,train
60895,874730520,train
75099,874730520,train
70122,874730521,train
91423,874730521,train
45002,874730552,train
49364,874730552,train
93391,874730552,train
73238,874730553,train
80869,874730553,train
60084,874767408,train
89437,874767408,train
89988,874767408,train
60321,874767519,train
59454,874767550,train
89399,874767550,train
96669,874767550,train
28108,874774286,train
56084,874774286,train
19917,874774449,train
94685,874774449,train
5212,874774575,train
6301,874774575,train
17186,874774575,train
72857,874774575,train
20957,874774718,train
16763,874774719,train
18234,874774815,train
1677,874774956,train
5482,874774956,train
21391,874774956,train
55490,874774993,train
262,874775038,train
69133,874775038,train
12874,874775136,train
19091,874775136,train
32434,874775136,train
4636,874775185,train
69953,874775185,train
27119,874775262,train
50032,874775262,train
60639,874775262,train
88964,874775262,train
297,874775311,train
61133,874775311,train
7120,874775406,train
9695,874775406,train
14021,874775406,train
19761,874775406,train
34521,874775406,train
53623,874775406,train
20934,874775465,train
24615,874775465,train
