user,rank,item,score
23,1,280,5
23,2,586,5
23,3,787,5
23,4,929,5
23,5,958,5
23,6,1003,5
23,7,1032,5
23,8,1063,5
23,9,1066,5
23,10,1076,5
81,1,56,4.35035
81,2,174,4.27358
81,3,318,4.2589
81,4,64,4.24609
81,5,408,4.24401
81,6,169,4.23132
81,7,172,4.16267
81,8,173,4.16267
81,9,357,4.16206
81,10,182,4.1543
82,1,56,4.35035
82,2,174,4.27358
82,3,318,4.2589
82,4,64,4.24609
82,5,408,4.24401
82,6,169,4.23132
82,7,172,4.16267
82,8,173,4.16267
82,9,357,4.16206
82,10,182,4.1543
92,1,513,4.4604
92,2,744,4.45961
92,3,653,4.39573
92,4,1158,4.39044
92,5,1129,4.37395
92,6,1007,4.35582
92,7,1204,4.31891
92,8,960,4.30575
92,9,114,4.27809
92,10,23,4.26853
116,1,56,4.35035
116,2,174,4.27358
116,3,318,4.2589
116,4,64,4.24609
116,5,408,4.24401
116,6,169,4.23132
116,7,172,4.16267
116,8,173,4.16267
116,9,357,4.16206
116,10,182,4.1543
130,1,280,5
130,2,375,5
130,3,524,5
130,4,555,5
130,5,572,5
130,6,586,5
130,7,605,5
130,8,610,5
130,9,617,5
130,10,624,5
160,1,56,4.35035
160,2,174,4.27358
160,3,318,4.2589
160,4,64,4.24609
160,5,408,4.24401
160,6,169,4.23132
160,7,172,4.16267
160,8,173,4.16267
160,9,357,4.16206
160,10,182,4.1543
182,1,56,4.35035
182,2,174,4.27358
182,3,318,4.2589
182,4,64,4.24609
182,5,408,4.24401
182,6,169,4.23132
182,7,172,4.16267
182,8,173,4.16267
182,9,357,4.16206
182,10,182,4.1543
195,1,1,5
195,2,2,5
195,3,6,5
195,4,7,5
195,5,8,5
195,6,9,5
195,7,11,5
195,8,12,5
195,9,13,5
195,10,14,5
207,1,958,5
207,2,1084,4.531
207,3,495,4.20613
207,4,602,4.165
207,5,612,4.15
207,6,498,4.12457
207,7,1204,4.10118
207,8,519,4.07513
207,9,459,4.04605
207,10,482,4.04308
221,1,1023,5
221,2,224,4.80191
221,3,180,4.65389
221,4,459,4.5839
221,5,357,4.58377
221,6,179,4.57027
221,7,317,4.56445
221,8,921,4.53434
221,9,673,4.50965
221,10,190,4.50134
233,1,17,5
233,2,49,5
233,3,58,5
233,4,123,5
233,5,130,5
233,6,131,5
233,7,132,5
233,8,164,5
233,9,199,5
233,10,201,5
259,1,41,5
259,2,47,5
259,3,65,5
259,4,131,5
259,5,162,5
259,6,175,5
259,7,177,5
259,8,481,5
259,9,482,5
259,10,488,5
268,1,958,5
268,2,690,4.53318
268,3,1251,4.46435
268,4,1252,4.46435
268,5,960,4.29572
268,6,744,4.2626
268,7,1158,4.21701
268,8,45,4.21693
268,9,6,4.18061
268,10,1099,4.17761
286,1,4,5
286,2,26,5
286,3,111,5
286,4,177,5
286,5,187,5
286,6,214,5
286,7,256,5
286,8,280,5
286,9,284,5
286,10,327,5
289,1,56,4.35035
289,2,174,4.27358
289,3,318,4.2589
289,4,64,4.24609
289,5,408,4.24401
289,6,169,4.23132
289,7,172,4.16267
289,8,173,4.16267
289,9,357,4.16206
289,10,182,4.1543
297,1,586,5
297,2,823,5
297,3,958,5
297,4,1183,5
297,5,1496,5
297,6,500,4.65182
297,7,94,4.5379
297,8,744,4.53728
297,9,674,4.53691
297,10,1115,4.52186
306,1,56,4.35035
306,2,174,4.27358
306,3,318,4.2589
306,4,64,4.24609
306,5,408,4.24401
306,6,169,4.23132
306,7,172,4.16267
306,8,173,4.16267
306,9,357,4.16206
306,10,182,4.1543
307,1,1,5
307,2,9,5
307,3,10,5
307,4,11,5
307,5,13,5
307,6,14,5
307,7,25,5
307,8,39,5
307,9,42,5
307,10,50,5
319,1,56,4.35035
319,2,174,4.27358
319,3,318,4.2589
319,4,64,4.24609
319,5,169,4.23132
319,6,172,4.16267
319,7,173,4.16267
319,8,357,4.16206
319,9,182,4.1543
319,10,50,4.15298
330,1,56,4.35035
330,2,174,4.27358
330,3,318,4.2589
330,4,64,4.24609
330,5,408,4.24401
330,6,169,4.23132
330,7,172,4.16267
330,8,173,4.16267
330,9,357,4.16206
330,10,182,4.1543
343,1,56,4.35035
343,2,174,4.27358
343,3,318,4.2589
343,4,64,4.24609
343,5,408,4.24401
343,6,169,4.23132
343,7,172,4.16267
343,8,173,4.16267
343,9,357,4.16206
343,10,182,4.1543
367,1,56,4.35035
367,2,174,4.27358
367,3,318,4.2589
367,4,64,4.24609
367,5,408,4.24401
367,6,169,4.23132
367,7,172,4.16267
367,8,173,4.16267
367,9,357,4.16206
367,10,182,4.1543
382,1,84,5
382,2,142,5
382,3,160,5
382,4,213,5
382,5,387,5
382,6,407,5
382,7,472,5
382,8,494,5
382,9,555,5
382,10,574,5
402,1,56,4.35035
402,2,174,4.27358
402,3,318,4.2589
402,4,64,4.24609
402,5,408,4.24401
402,6,169,4.23132
402,7,172,4.16267
402,8,173,4.16267
402,9,357,4.16206
402,10,182,4.1543
407,1,104,5
407,2,1086,5
407,3,1170,5
407,4,864,4.70574
407,5,86,4.65747
407,6,686,4.61387
407,7,129,4.60505
407,8,1137,4.59899
407,9,500,4.59184
407,10,57,4.59008
416,1,56,4.35035
416,2,174,4.27358
416,3,318,4.2589
416,4,64,4.24609
416,5,408,4.24401
416,6,169,4.23132
416,7,172,4.16267
416,8,173,4.16267
416,9,357,4.16206
416,10,182,4.1543
452,1,302,5
452,2,694,5
452,3,741,5
452,4,1251,5
452,5,1252,5
452,6,303,4.65555
452,7,5,4.62311
452,8,961,4.60632
452,9,1142,4.56703
452,10,825,4.54688
514,1,280,5
514,2,563,5
514,3,645,5
514,4,674,5
514,5,707,5
514,6,781,5
514,7,818,5
514,8,823,5
514,9,828,5
514,10,932,5
518,1,56,4.35035
518,2,174,4.27358
518,3,318,4.2589
518,4,64,4.24609
518,5,408,4.24401
518,6,169,4.23132
518,7,172,4.16267
518,8,173,4.16267
518,9,357,4.16206
518,10,182,4.1543
532,1,57,5
532,2,605,5
532,3,617,5
532,4,836,5
532,5,1050,5
532,6,1203,5
532,7,1205,5
532,8,1263,5
532,9,1386,5
532,10,1455,5
543,1,639,4.43923
543,2,774,4.41326
543,3,778,4.37803
543,4,6,4.35576
543,5,862,4.30358
543,6,1202,4.26091
543,7,1259,4.26091
543,8,1261,4.26091
543,9,646,4.24043
543,10,301,4.22037
554,1,56,4.35035
554,2,174,4.27358
554,3,318,4.2589
554,4,64,4.24609
554,5,408,4.24401
554,6,169,4.23132
554,7,172,4.16267
554,8,173,4.16267
554,9,357,4.16206
554,10,182,4.1543
593,1,62,5
593,2,445,5
593,3,575,5
593,4,874,5
593,5,971,5
593,6,1023,5
593,7,1025,5
593,8,1070,5
593,9,1089,5
593,10,1158,5
601,1,56,4.35035
601,2,174,4.27358
601,3,318,4.2589
601,4,64,4.24609
601,5,408,4.24401
601,6,169,4.23132
601,7,172,4.16267
601,8,173,4.16267
601,9,357,4.16206
601,10,182,4.1543
638,1,56,4.35035
638,2,174,4.27358
638,3,318,4.2589
638,4,64,4.24609
638,5,408,4.24401
638,6,169,4.23132
638,7,172,4.16267
638,8,173,4.16267
638,9,357,4.16206
638,10,182,4.1543
647,1,56,4.35035
647,2,174,4.27358
647,3,318,4.2589
647,4,64,4.24609
647,5,408,4.24401
647,6,169,4.23132
647,7,172,4.16267
647,8,173,4.16267
647,9,357,4.16206
647,10,182,4.1543
664,1,56,4.35035
664,2,174,4.27358
664,3,318,4.2589
664,4,64,4.24609
664,5,408,4.24401
664,6,169,4.23132
664,7,172,4.16267
664,8,173,4.16267
664,9,357,4.16206
664,10,182,4.1543
680,1,56,4.35035
680,2,174,4.27358
680,3,318,4.2589
680,4,64,4.24609
680,5,408,4.24401
680,6,169,4.23132
680,7,172,4.16267
680,8,173,4.16267
680,9,357,4.16206
680,10,182,4.1543
689,1,56,4.35035
689,2,174,4.27358
689,3,318,4.2589
689,4,64,4.24609
689,5,408,4.24401
689,6,169,4.23132
689,7,172,4.16267
689,8,173,4.16267
689,9,357,4.16206
689,10,182,4.1543
711,1,9,5
711,2,11,5
711,3,12,5
711,4,23,5
711,5,36,5
711,6,46,5
711,7,58,5
711,8,67,5
711,9,72,5
711,10,81,5
712,1,6,5
712,2,424,5
712,3,1012,5
712,4,1284,5
712,5,1664,5
712,6,1202,4.90148
712,7,1259,4.90148
712,8,1261,4.90148
712,9,1098,4.86884
712,10,827,4.76196
735,1,56,4.35035
735,2,174,4.27358
735,3,318,4.2589
735,4,64,4.24609
735,5,408,4.24401
735,6,169,4.23132
735,7,172,4.16267
735,8,173,4.16267
735,9,357,4.16206
735,10,182,4.1543
764,1,56,4.35035
764,2,174,4.27358
764,3,318,4.2589
764,4,64,4.24609
764,5,408,4.24401
764,6,169,4.23132
764,7,172,4.16267
764,8,173,4.16267
764,9,357,4.16206
764,10,182,4.1543
770,1,3,5
770,2,5,5
770,3,26,5
770,4,30,5
770,5,46,5
770,6,47,5
770,7,52,5
770,8,59,5
770,9,60,5
770,10,66,5
772,1,56,4.35035
772,2,174,4.27358
772,3,318,4.2589
772,4,64,4.24609
772,5,408,4.24401
772,6,169,4.23132
772,7,172,4.16267
772,8,173,4.16267
772,9,357,4.16206
772,10,182,4.1543
860,1,56,4.35035
860,2,174,4.27358
860,3,318,4.2589
860,4,64,4.24609
860,5,408,4.24401
860,6,169,4.23132
860,7,172,4.16267
860,8,173,4.16267
860,9,357,4.16206
860,10,182,4.1543
870,1,553,5
870,2,572,5
870,3,694,5
870,4,971,5
870,5,1063,5
870,6,1018,4.77268
870,7,833,4.72206
870,8,1010,4.62516
870,9,1194,4.59575
870,10,1296,4.58877
875,1,56,4.35035
875,2,174,4.27358
875,3,318,4.2589
875,4,64,4.24609
875,5,408,4.24401
875,6,169,4.23132
875,7,172,4.16267
875,8,173,4.16267
875,9,357,4.16206
875,10,182,4.1543
881,1,56,4.35035
881,2,174,4.27358
881,3,318,4.2589
881,4,64,4.24609
881,5,408,4.24401
881,6,169,4.23132
881,7,172,4.16267
881,8,173,4.16267
881,9,357,4.16206
881,10,182,4.1543
937,1,56,4.35035
937,2,174,4.27358
937,3,318,4.2589
937,4,64,4.24609
937,5,408,4.24401
937,6,169,4.23132
937,7,172,4.16267
937,8,173,4.16267
937,9,357,4.16206
937,10,182,4.1543
