user,relevant_count,hits_at_10,recall_at_10,ndcg_at_10
23,3,0,0,0
81,26,2,0.0769231,0.188444
82,12,0,0,0
92,1,0,0,0
116,25,0,0,0
130,71,0,0,0
160,42,3,0.0714286,0.368856
182,6,1,0.166667,0.100867
195,3,0,0,0
207,2,0,0,0
221,2,0,0,0
233,2,0,0,0
259,2,0,0,0
268,15,0,0,0
286,17,2,0.117647,0.179477
289,9,0,0,0
297,2,0,0,0
306,21,0,0,0
307,1,0,0,0
319,3,0,0,0
330,130,5,0.0384615,0.483315
343,176,7,0.0397727,0.793584
367,50,1,0.02,0.220092
382,1,0,0,0
402,47,2,0.0425532,0.148764
407,25,0,0,0
416,59,1,0.0169492,0.0636208
452,3,0,0,0
514,1,0,0,0
518,11,0,0,0
532,2,0,0,0
543,1,0,0,0
554,61,4,0.0655738,0.542364
593,3,0,0,0
601,74,6,0.0810811,0.552746
638,35,2,0.0571429,0.212226
647,42,3,0.0714286,0.274548
664,68,5,0.0735294,0.557978
680,18,3,0.166667,0.273587
689,22,0,0,0
711,6,0,0,0
712,2,0,0,0
735,25,0,0,0
764,68,4,0.0588235,0.563788
770,3,0,0,0
772,5,0,0,0
860,1,0,0,0
870,3,0,0,0
875,74,7,0.0945946,0.74119
881,118,4,0.0338983,0.373269
937,25,1,0.04,0.0851431
