user,relevant_count,hits_at_10,recall_at_10,ndcg_at_10
23,3,0,0,0
81,26,2,0.0769231,0.305235
82,12,0,0,0
92,1,0,0,0
116,25,0,0,0
130,71,0,0,0
160,42,3,0.0714286,0.312049
182,6,0,0,0
195,3,0,0,0
207,2,0,0,0
221,2,0,0,0
233,2,0,0,0
259,2,0,0,0
268,15,3,0.2,0.252065
286,17,0,0,0
289,9,0,0,0
297,2,0,0,0
306,21,0,0,0
307,1,0,0,0
319,3,0,0,0
330,130,2,0.0153846,0.154574
343,176,7,0.0397727,0.728912
367,50,1,0.02,0.0783983
382,1,0,0,0
402,47,3,0.0638298,0.307015
407,25,0,0,0
416,59,1,0.0169492,0.0947884
452,3,1,0.333333,0.141267
514,1,0,0,0
518,11,0,0,0
532,2,0,0,0
543,1,0,0,0
554,61,3,0.0491803,0.232973
593,3,0,0,0
601,74,3,0.0405405,0.227938
638,35,1,0.0285714,0.0694312
647,42,1,0.0238095,0.0694312
664,68,4,0.0588235,0.321951
680,18,3,0.166667,0.444097
689,22,0,0,0
711,6,1,0.166667,0.0874717
712,2,0,0,0
735,25,0,0,0
764,68,3,0.0441176,0.232973
770,3,0,0,0
772,5,0,0,0
860,1,0,0,0
870,3,0,0,0
875,74,4,0.0540541,0.431542
881,118,4,0.0338983,0.27267
937,25,1,0.04,0.138862
