user,relevant_count,hits_at_10,recall_at_10,ndcg_at_10
1,4,1,0.25,0.117516
3,13,1,0.0769231,0.138862
4,19,4,0.210526,0.478422
7,274,7,0.0255474,0.692985
11,86,3,0.0348837,0.26462
13,9,1,0.111111,0.0783485
14,29,3,0.103448,0.432318
26,23,4,0.173913,0.547398
27,9,2,0.222222,0.188279
33,16,2,0.125,0.163541
38,74,3,0.0405405,0.246551
39,14,3,0.214286,0.25833
41,36,6,0.166667,0.675416
43,3,0,0,0
54,7,0,0,0
56,114,7,0.0614035,0.742125
58,13,1,0.0769231,0.0662542
60,1,0,0,0
61,7,1,0.142857,0.106337
64,107,6,0.0560748,0.646402
79,38,5,0.131579,0.558076
83,1,0,0,0
85,2,0,0,0
88,14,1,0.0714286,0.0694312
90,240,3,0.0125,0.243098
91,72,3,0.0416667,0.422575
92,5,0,0,0
94,170,5,0.0294118,0.566945
100,22,2,0.0909091,0.179931
102,2,0,0,0
107,8,1,0.125,0.0978516
111,14,2,0.142857,0.154574
112,6,0,0,0
116,1,0,0,0
119,7,0,0,0
120,16,5,0.3125,0.514284
121,44,5,0.113636,0.637152
124,12,0,0,0
125,34,3,0.0882353,0.424926
132,14,1,0.0714286,0.110046
133,10,1,0.1,0.0851431
134,15,3,0.2,0.253295
145,1,0,0,0
146,18,1,0.0555556,0.0851431
152,2,0,0,0
159,4,1,0.25,0.168128
161,10,1,0.1,0.110046
163,10,1,0.1,0.0851431
164,50,4,0.08,0.400306
167,40,0,0,0
169,24,4,0.166667,0.507718
171,15,1,0.0666667,0.0851431
174,4,1,0.25,0.168128
178,3,1,0.333333,0.202107
179,20,2,0.1,0.163541
183,20,0,0,0
184,146,5,0.0342466,0.611795
186,15,1,0.0666667,0.0694312
189,134,5,0.0373134,0.561911
190,27,2,0.0740741,0.188444
191,14,1,0.0714286,0.0694312
193,9,2,0.222222,0.218751
195,5,0,0,0
197,54,5,0.0925926,0.602506
200,2,0,0,0
204,22,0,0,0
207,3,0,0,0
210,6,0,0,0
214,91,3,0.032967,0.239921
215,58,3,0.0517241,0.422575
219,19,1,0.0526316,0.0851431
223,42,2,0.047619,0.168152
228,9,2,0.222222,0.157874
229,11,2,0.181818,0.147829
233,2,0,0,0
234,158,2,0.0126582,0.330138
235,78,4,0.0512821,0.467122
236,63,2,0.031746,0.208294
247,19,5,0.263158,0.583715
252,19,3,0.157895,0.252841
253,69,5,0.0724638,0.564544
260,17,0,0,0
261,20,2,0.1,0.173187
263,93,5,0.0537634,0.605985
266,11,2,0.181818,0.179477
269,139,1,0.00719424,0.110046
273,13,0,0,0
276,10,0,0,0
278,18,3,0.166667,0.242618
279,37,1,0.027027,0.0851431
280,129,3,0.0232558,0.221193
285,24,2,0.0833333,0.188444
286,17,1,0.0588235,0.0783983
294,21,2,0.0952381,0.18341
299,43,3,0.0697674,0.21145
312,179,5,0.027933,0.605985
313,141,6,0.0425532,0.672239
317,13,1,0.0769231,0.0783983
319,3,0,0,0
325,70,4,0.0571429,0.538431
328,3,0,0,0
329,32,5,0.15625,0.602052
332,5,0,0,0
333,19,2,0.105263,0.173667
334,189,6,0.031746,0.687195
335,13,1,0.0769231,0.0783983
339,187,6,0.0320856,0.675416
341,13,1,0.0769231,0.0783983
344,24,2,0.0833333,0.248908
353,14,2,0.142857,0.154574
354,141,6,0.0425532,0.687195
356,14,2,0.142857,0.163541
358,27,1,0.037037,0.0851431
363,126,5,0.0396825,0.611019
365,32,4,0.125,0.346951
368,19,3,0.157895,0.469
369,15,2,0.133333,0.358954
377,21,3,0.142857,0.25833
378,15,4,0.266667,0.350313
379,10,2,0.2,0.161043
381,84,4,0.047619,0.49829
383,62,2,0.0322581,0.179477
384,20,2,0.1,0.154574
392,86,5,0.0581395,0.595762
393,90,1,0.0111111,0.0662542
397,8,0,0,0
401,67,2,0.0298507,0.173667
407,8,3,0.375,0.394997
408,16,2,0.125,0.173187
411,37,5,0.135135,0.581082
416,197,10,0.0507614,1
418,7,2,0.285714,0.20425
420,26,2,0.0769231,0.179477
421,43,3,0.0697674,0.393758
423,36,3,0.0833333,0.26462
425,20,2,0.1,0.212226
428,2,0,0,0
432,39,6,0.153846,0.683538
440,39,1,0.025641,0.0851431
441,11,3,0.272727,0.234407
444,16,2,0.125,0.330138
445,16,1,0.0625,0.0636208
448,22,1,0.0454545,0.0851431
450,7,1,0.142857,0.0867138
455,1,0,0,0
458,7,0,0,0
463,11,2,0.181818,0.293456
466,50,5,0.1,0.586116
471,16,1,0.0625,0.0733639
472,53,5,0.0943396,0.573972
475,13,2,0.153846,0.330138
478,58,3,0.0517241,0.261808
479,1,0,0,0
480,44,3,0.0681818,0.393758
483,1,0,0,0
484,83,6,0.0722892,0.445857
485,8,0,0,0
488,80,5,0.0625,0.602506
489,66,3,0.0454545,0.232973
491,22,3,0.136364,0.26462
499,2,0,0,0
500,1,0,0,0
503,2,0,0,0
504,2,0,0,0
505,47,2,0.0425532,0.142795
506,2,0,0,0
507,54,6,0.111111,0.683538
511,17,2,0.117647,0.173187
514,1,0,0,0
516,16,3,0.1875,0.428385
517,17,3,0.176471,0.444097
530,4,0,0,0
532,99,3,0.030303,0.283515
533,6,1,0.166667,0.0874717
547,15,1,0.0666667,0.0851431
548,102,6,0.0588235,0.693761
551,232,7,0.0301724,0.567682
559,43,1,0.0232558,0.0636208
565,33,0,0,0
574,26,3,0.115385,0.273587
577,2,0,0,0
585,48,1,0.0208333,0.0694312
587,33,3,0.0909091,0.232973
588,140,8,0.0571429,0.826333
591,49,2,0.0408163,0.179477
603,33,4,0.121212,0.563788
611,27,1,0.037037,0.0694312
613,23,3,0.130435,0.378599
616,25,3,0.12,0.232973
618,91,6,0.0659341,0.672239
620,71,7,0.0985915,0.73538
621,3,0,0,0
623,29,4,0.137931,0.510352
624,10,0,0,0
625,47,5,0.106383,0.577149
634,3,0,0,0
636,16,3,0.1875,0.261443
