user,rank,item,score
1,1,408,4.57858
1,2,483,4.48612
1,3,357,4.41414
1,4,603,4.41059
1,5,318,4.40681
1,6,657,4.40091
1,7,474,4.39438
1,8,285,4.36788
1,9,511,4.36774
1,10,480,4.32105
3,1,408,3.52836
3,2,169,3.49926
3,3,318,3.45796
3,4,64,3.4567
3,5,483,3.44657
3,6,114,3.4264
3,7,313,3.38235
3,8,603,3.37104
3,9,12,3.36994
3,10,1449,3.35514
4,1,408,4.49805
4,2,169,4.4555
4,3,64,4.40635
4,4,483,4.40314
4,5,318,4.39413
4,6,114,4.34599
4,7,313,4.34032
4,8,12,4.32252
4,9,50,4.31764
4,10,603,4.31062
7,1,408,4.49805
7,2,169,4.4555
7,3,64,4.40635
7,4,483,4.40314
7,5,318,4.39413
7,6,114,4.34599
7,7,313,4.34032
7,8,12,4.32252
7,9,50,4.31764
7,10,603,4.31062
11,1,408,4.49805
11,2,169,4.4555
11,3,64,4.40635
11,4,483,4.40314
11,5,318,4.39413
11,6,114,4.34599
11,7,313,4.34032
11,8,12,4.32252
11,9,50,4.31764
11,10,603,4.31062
13,1,408,4.24195
13,2,169,4.19177
13,3,114,4.08602
13,4,113,4.06923
13,5,134,4.0263
13,6,963,4.01096
13,7,513,3.98828
13,8,1449,3.98634
13,9,1367,3.98204
13,10,923,3.98117
14,1,169,4.76414
14,2,483,4.70444
14,3,64,4.68319
14,4,318,4.66425
14,5,114,4.63768
14,6,1449,4.63603
14,7,313,4.63461
14,8,50,4.63191
14,9,12,4.60238
14,10,603,4.57933
26,1,408,4.49805
26,2,169,4.4555
26,3,64,4.40635
26,4,483,4.40314
26,5,318,4.39413
26,6,114,4.34599
26,7,313,4.34032
26,8,12,4.32252
26,9,50,4.31764
26,10,603,4.31062
27,1,408,4.49805
27,2,169,4.4555
27,3,64,4.40635
27,4,483,4.40314
27,5,318,4.39413
27,6,114,4.34599
27,7,313,4.34032
27,8,12,4.32252
27,9,50,4.31764
27,10,603,4.31062
33,1,408,4.49805
33,2,169,4.4555
33,3,64,4.40635
33,4,483,4.40314
33,5,318,4.39413
33,6,114,4.34599
33,7,313,4.34032
33,8,12,4.32252
33,9,50,4.31764
33,10,603,4.31062
38,1,408,4.49805
38,2,169,4.4555
38,3,64,4.40635
38,4,483,4.40314
38,5,318,4.39413
38,6,114,4.34599
38,7,313,4.34032
38,8,12,4.32252
38,9,50,4.31764
38,10,603,4.31062
39,1,408,4.49805
39,2,169,4.4555
39,3,64,4.40635
39,4,483,4.40314
39,5,318,4.39413
39,6,114,4.34599
39,7,313,4.34032
39,8,12,4.32252
39,9,50,4.31764
39,10,603,4.31062
41,1,408,4.49805
41,2,169,4.4555
41,3,64,4.40635
41,4,483,4.40314
41,5,318,4.39413
41,6,114,4.34599
41,7,313,4.34032
41,8,12,4.32252
41,9,50,4.31764
41,10,603,4.31062
43,1,1449,4.45742
43,2,483,4.45738
43,3,22,4.44078
43,4,113,4.39854
43,5,603,4.39812
43,6,963,4.38877
43,7,316,4.37962
43,8,178,4.33834
43,9,427,4.33762
43,10,520,4.33043
54,1,408,4.78401
54,2,169,4.77814
54,3,483,4.74745
54,4,64,4.70231
54,5,313,4.68061
54,6,1449,4.67942
54,7,318,4.67049
54,8,114,4.66193
54,9,113,4.65726
54,10,12,4.65077
56,1,408,4.49805
56,2,169,4.4555
56,3,64,4.40635
56,4,483,4.40314
56,5,318,4.39413
56,6,114,4.34599
56,7,313,4.34032
56,8,12,4.32252
56,9,50,4.31764
56,10,603,4.31062
58,1,114,4.50269
58,2,657,4.49656
58,3,1449,4.48532
58,4,190,4.44732
58,5,251,4.42225
58,6,113,4.42117
58,7,641,4.40348
58,8,513,4.39965
58,9,1367,4.38739
58,10,963,4.38592
60,1,408,4.80177
60,2,169,4.76536
60,3,114,4.6212
60,4,1449,4.61187
60,5,318,4.60786
60,6,657,4.58064
60,7,272,4.5744
60,8,313,4.57402
60,9,963,4.5664
60,10,113,4.53672
61,1,408,4.49805
61,2,169,4.4555
61,3,64,4.40635
61,4,483,4.40314
61,5,318,4.39413
61,6,114,4.34599
61,7,313,4.34032
61,8,12,4.32252
61,9,50,4.31764
61,10,603,4.31062
64,1,408,4.40017
64,2,169,4.3801
64,3,64,4.30061
64,4,483,4.30028
64,5,12,4.26375
64,6,318,4.25756
64,7,50,4.2384
64,8,114,4.23225
64,9,357,4.22009
64,10,603,4.21477
79,1,408,4.49805
79,2,169,4.4555
79,3,64,4.40635
79,4,483,4.40314
79,5,318,4.39413
79,6,114,4.34599
79,7,313,4.34032
79,8,12,4.32252
79,9,50,4.31764
79,10,603,4.31062
83,1,318,4.56688
83,2,313,4.54525
83,3,496,4.42823
83,4,408,4.42611
83,5,1449,4.41898
83,6,272,4.37129
83,7,316,4.35915
83,8,483,4.35323
83,9,963,4.35031
83,10,113,4.34519
85,1,408,4.39276
85,2,169,4.34356
85,3,114,4.20868
85,4,603,4.20225
85,5,12,4.18318
85,6,178,4.13871
85,7,493,4.12443
85,8,285,4.1206
85,9,963,4.11299
85,10,1367,4.10494
88,1,408,4.49805
88,2,169,4.4555
88,3,64,4.40635
88,4,483,4.40314
88,5,318,4.39413
88,6,114,4.34599
88,7,313,4.34032
88,8,12,4.32252
88,9,50,4.31764
88,10,603,4.31062
90,1,408,4.49805
90,2,169,4.4555
90,3,64,4.40635
90,4,483,4.40314
90,5,318,4.39413
90,6,114,4.34599
90,7,313,4.34032
90,8,12,4.32252
90,9,50,4.31764
90,10,603,4.31062
91,1,408,4.49805
91,2,169,4.4555
91,3,64,4.40635
91,4,483,4.40314
91,5,318,4.39413
91,6,114,4.34599
91,7,313,4.34032
91,8,12,4.32252
91,9,50,4.31764
91,10,603,4.31062
92,1,483,4.3422
92,2,127,4.32373
92,3,114,4.26591
92,4,603,4.24624
92,5,178,4.24559
92,6,357,4.23029
92,7,272,4.2246
92,8,285,4.2201
92,9,657,4.21935
92,10,187,4.21888
94,1,408,4.91879
94,2,169,4.89158
94,3,285,4.71611
94,4,603,4.70565
94,5,114,4.69143
94,6,657,4.68758
94,7,511,4.68535
94,8,963,4.67572
94,9,178,4.67123
94,10,1449,4.65563
100,1,408,4.49805
100,2,169,4.4555
100,3,64,4.40635
100,4,483,4.40314
100,5,318,4.39413
100,6,114,4.34599
100,7,313,4.34032
100,8,12,4.32252
100,9,50,4.31764
100,10,603,4.31062
102,1,408,3.7072
102,2,169,3.66634
102,3,483,3.61531
102,4,318,3.61342
102,5,64,3.61154
102,6,114,3.58725
102,7,1449,3.56856
102,8,12,3.52214
102,9,113,3.50405
102,10,603,3.50012
107,1,408,4.49805
107,2,169,4.4555
107,3,64,4.40635
107,4,483,4.40314
107,5,318,4.39413
107,6,114,4.34599
107,7,313,4.34032
107,8,12,4.32252
107,9,50,4.31764
107,10,603,4.31062
111,1,408,4.49805
111,2,169,4.4555
111,3,64,4.40635
111,4,483,4.40314
111,5,318,4.39413
111,6,114,4.34599
111,7,313,4.34032
111,8,12,4.32252
111,9,50,4.31764
111,10,603,4.31062
112,1,408,4.7057
112,2,483,4.65176
112,3,169,4.65049
112,4,318,4.64667
