user,relevant_count,hits_at_10,recall_at_10,ndcg_at_10
1,4,0,0,0
3,13,1,0.0769231,0.110046
4,19,1,0.0526316,0.0662542
7,274,6,0.0218978,0.489284
11,86,2,0.0232558,0.148764
13,9,0,0,0
14,29,3,0.103448,0.199306
26,23,2,0.0869565,0.139618
27,9,0,0,0
33,16,1,0.0625,0.0733639
38,74,1,0.0135135,0.0733639
39,14,1,0.0714286,0.0733639
41,36,2,0.0555556,0.151397
43,3,1,0.333333,0.156426
54,7,1,0.142857,0.106337
56,114,6,0.0526316,0.708441
58,13,0,0,0
60,1,1,1,0.333333
61,7,0,0,0
64,107,4,0.0373832,0.346951
79,38,1,0.0263158,0.0662542
83,1,0,0,0
85,2,0,0,0
88,14,0,0,0
90,240,6,0.025,0.496393
91,72,6,0.0833333,0.493216
92,5,0,0,0
94,170,2,0.0117647,0.173187
100,22,1,0.0454545,0.0733639
102,2,0,0,0
107,8,0,0,0
111,14,1,0.0714286,0.0733639
112,6,0,0,0
116,1,0,0,0
119,7,1,0.142857,0.082746
120,16,1,0.0625,0.0662542
121,44,4,0.0909091,0.294192
124,12,0,0,0
125,34,2,0.0588235,0.224006
132,14,1,0.0714286,0.0694312
133,10,0,0,0
134,15,1,0.0666667,0.0733639
145,1,0,0,0
146,18,1,0.0555556,0.0733639
152,2,2,1,0.491149
159,4,0,0,0
161,10,0,0,0
163,10,2,0.2,0.195189
164,50,1,0.02,0.0733639
167,40,2,0.05,0.148764
169,24,2,0.0833333,0.129875
171,15,1,0.0666667,0.0733639
174,4,0,0,0
178,3,0,0,0
179,20,1,0.05,0.0733639
183,20,1,0.05,0.0947884
184,146,5,0.0342466,0.429596
186,15,0,0,0
189,134,4,0.0298507,0.309806
190,27,1,0.037037,0.0733639
191,14,1,0.0714286,0.0733639
193,9,0,0,0
195,5,0,0,0
197,54,2,0.037037,0.139618
200,2,0,0,0
204,22,2,0.0909091,0.154574
207,3,0,0,0
210,6,0,0,0
214,91,9,0.0989011,0.933746
215,58,4,0.0689655,0.344452
219,19,1,0.0526316,0.0783983
223,42,2,0.047619,0.158507
228,9,1,0.111111,0.0783485
229,11,0,0,0
233,2,1,0.5,0.386853
234,158,6,0.0379747,0.493216
235,78,3,0.0384615,0.246186
236,63,4,0.0634921,0.363341
247,19,2,0.105263,0.1763
252,19,0,0,0
253,69,5,0.0724638,0.425663
260,17,1,0.0588235,0.0733639
261,20,0,0,0
263,93,4,0.0430108,0.356232
266,11,1,0.0909091,0.0733639
269,139,4,0.028777,0.353598
273,13,0,0,0
276,10,0,0,0
