user,relevant_count,hits_at_10,recall_at_10,ndcg_at_10
23,3,2,0.666667,0.391066
81,26,4,0.153846,0.293416
82,12,5,0.416667,0.611019
92,1,0,0,0
116,25,1,0.04,0.220092
130,71,3,0.0422535,0.368856
160,42,5,0.119048,0.495459
182,6,0,0,0
195,3,0,0,0
207,2,0,0,0
221,2,0,0,0
233,2,0,0,0
259,2,0,0,0
268,15,2,0.133333,0.283713
286,17,1,0.0588235,0.110046
289,9,2,0.222222,0.192157
297,2,0,0,0
306,21,1,0.047619,0.110046
307,1,0,0,0
319,3,0,0,0
330,130,8,0.0615385,0.841493
343,176,7,0.0397727,0.621499
367,50,5,0.1,0.47367
382,1,0,0,0
402,47,5,0.106383,0.632541
407,25,3,0.12,0.315163
416,59,1,0.0169492,0.0851431
452,3,0,0,0
514,1,0,0,0
518,11,2,0.181818,0.188444
532,2,0,0,0
543,1,0,0,0
554,61,7,0.114754,0.726413
593,3,0,0,0
601,74,4,0.0540541,0.538431
638,35,5,0.142857,0.586795
647,42,2,0.047619,0.133052
664,68,3,0.0441176,0.249664
680,18,4,0.222222,0.368658
689,22,5,0.227273,0.602506
711,6,0,0,0
712,2,1,0.5,0.184576
735,25,3,0.12,0.437352
764,68,8,0.117647,0.641046
770,3,0,0,0
772,5,0,0,0
860,1,0,0,0
870,3,0,0,0
875,74,5,0.0675676,0.568004
881,118,8,0.0677966,0.787774
937,25,1,0.04,0.138862
