user,rank,item,score
23,1,169,4.53183
23,2,114,4.47446
23,3,182,4.40425
23,4,318,4.37776
23,5,483,4.29953
23,6,205,4.29665
23,7,482,4.22594
23,8,11,4.19804
23,9,127,4.19607
23,10,180,4.18661
81,1,169,4.65786
81,2,408,4.58672
81,3,114,4.52692
81,4,182,4.51791
81,5,318,4.47396
81,6,56,4.46471
81,7,483,4.41159
81,8,174,4.40547
81,9,205,4.39772
81,10,180,4.367
82,1,169,4.65786
82,2,408,4.58672
82,3,114,4.52692
82,4,182,4.51791
82,5,318,4.47396
82,6,56,4.46471
82,7,483,4.41159
82,8,174,4.40547
82,9,205,4.39772
82,10,180,4.367
92,1,114,4.27286
92,2,483,4.18542
92,3,357,4.15933
92,4,205,4.1349
92,5,93,4.08006
92,6,480,4.07954
92,7,207,4.07251
92,8,482,4.06972
92,9,656,4.06295
92,10,721,4.06104
116,1,169,4.65786
116,2,408,4.58672
116,3,114,4.52692
116,4,182,4.51791
116,5,318,4.47396
116,6,56,4.46471
116,7,483,4.41159
116,8,174,4.40547
116,9,205,4.39772
116,10,180,4.367
130,1,169,5.09845
130,2,408,5.03817
130,3,182,5.0064
130,4,114,4.99262
130,5,318,4.93382
130,6,483,4.86999
130,7,205,4.85459
130,8,180,4.79949
130,9,721,4.78485
130,10,480,4.78001
160,1,169,4.65786
160,2,408,4.58672
160,3,114,4.52692
160,4,182,4.51791
160,5,318,4.47396
160,6,56,4.46471
160,7,483,4.41159
160,8,174,4.40547
160,9,205,4.39772
160,10,180,4.367
182,1,169,4.65786
182,2,408,4.58672
182,3,114,4.52692
182,4,182,4.51791
182,5,318,4.47396
182,6,56,4.46471
182,7,483,4.41159
182,8,174,4.40547
182,9,205,4.39772
182,10,180,4.367
195,1,408,4.68804
195,2,169,4.68282
195,3,114,4.561
195,4,56,4.55281
195,5,318,4.54277
195,6,182,4.52221
195,7,64,4.50172
195,8,180,4.49451
195,9,205,4.47952
195,10,12,4.45307
207,1,169,4.0776
207,2,408,4.0684
207,3,114,4.02013
207,4,182,3.98887
207,5,318,3.94572
207,6,174,3.84515
207,7,64,3.82893
207,8,173,3.81275
207,9,180,3.8033
207,10,357,3.79318
221,1,169,4.61933
221,2,408,4.53062
221,3,182,4.48358
221,4,114,4.44826
221,5,483,4.37138
221,6,205,4.35006
221,7,98,4.34417
221,8,180,4.33313
221,9,357,4.31176
221,10,223,4.27926
233,1,169,4.83131
233,2,408,4.79578
233,3,114,4.7208
233,4,182,4.6945
233,5,56,4.65327
233,6,318,4.6216
233,7,174,4.60128
233,8,180,4.56126
233,9,64,4.55705
233,10,12,4.54998
259,1,169,4.77935
259,2,408,4.70069
259,3,182,4.67912
259,4,114,4.62619
259,5,318,4.58199
259,6,56,4.58181
259,7,174,4.55699
259,8,483,4.51799
259,9,180,4.51663
259,10,64,4.50529
268,1,318,3.93185
268,2,64,3.81801
268,3,178,3.75662
268,4,482,3.73783
268,5,656,3.7197
268,6,89,3.7106
268,7,515,3.70393
268,8,93,3.67263
268,9,813,3.66937
268,10,96,3.66585
286,1,169,4.67013
286,2,114,4.55253
286,3,318,4.51924
286,4,182,4.50036
286,5,12,4.48387
286,6,56,4.47984
286,7,483,4.44841
286,8,205,4.40855
286,9,180,4.4077
286,10,64,4.3989
289,1,169,4.65786
289,2,408,4.58672
289,3,114,4.52692
289,4,182,4.51791
289,5,318,4.47396
289,6,56,4.46471
289,7,483,4.41159
289,8,174,4.40547
289,9,205,4.39772
289,10,180,4.367
297,1,169,4.297
297,2,408,4.25803
297,3,318,4.09758
297,4,205,4.06197
297,5,64,4.05961
297,6,180,4.05573
297,7,483,4.05125
297,8,172,4.04091
297,9,93,3.97235
297,10,656,3.97166
306,1,169,4.65786
306,2,408,4.58672
306,3,114,4.52692
306,4,182,4.51791
306,5,318,4.47396
306,6,56,4.46471
306,7,483,4.41159
306,8,174,4.40547
306,9,205,4.39772
306,10,180,4.367
307,1,169,5.0011
307,2,114,4.90081
307,3,318,4.88725
307,4,182,4.88332
307,5,56,4.80212
307,6,174,4.77602
307,7,205,4.75395
307,8,64,4.72566
307,9,98,4.71027
307,10,357,4.70755
319,1,169,4.69316
319,2,408,4.62888
319,3,182,4.54977
319,4,114,4.54977
319,5,318,4.53624
319,6,56,4.51774
319,7,483,4.46405
319,8,64,4.43416
319,9,174,4.43347
319,10,205,4.40849
330,1,169,4.65786
330,2,408,4.58672
330,3,114,4.52692
330,4,182,4.51791
330,5,318,4.47396
330,6,56,4.46471
330,7,483,4.41159
330,8,174,4.40547
330,9,205,4.39772
330,10,180,4.367
343,1,169,4.65786
343,2,408,4.58672
343,3,114,4.52692
343,4,182,4.51791
343,5,318,4.47396
343,6,56,4.46471
343,7,483,4.41159
343,8,174,4.40547
343,9,205,4.39772
343,10,180,4.367
367,1,169,4.65786
367,2,408,4.58672
367,3,114,4.52692
367,4,182,4.51791
367,5,318,4.47396
367,6,56,4.46471
367,7,483,4.41159
367,8,174,4.40547
367,9,205,4.39772
367,10,180,4.367
382,1,169,4.33454
382,2,408,4.25533
382,3,114,4.20664
382,4,182,4.19846
382,5,318,4.12185
382,6,483,4.10735
382,7,173,4.05735
382,8,205,4.04454
382,9,174,4.0414
382,10,64,3.99713
402,1,169,4.65786
402,2,408,4.58672
402,3,114,4.52692
402,4,182,4.51791
402,5,318,4.47396
402,6,56,4.46471
402,7,483,4.41159
402,8,174,4.40547
402,9,205,4.39772
402,10,180,4.367
407,1,114,4.42491
407,2,182,4.3875
407,3,318,4.32286
407,4,64,4.22831
407,5,11,4.20459
407,6,482,4.19886
407,7,12,4.1929
407,8,223,4.19014
407,9,265,4.18536
407,10,515,4.17151
416,1,169,4.65786
416,2,408,4.58672
416,3,114,4.52692
416,4,182,4.51791
416,5,318,4.47396
416,6,56,4.46471
416,7,483,4.41159
416,8,174,4.40547
416,9,205,4.39772
416,10,180,4.367
452,1,169,4.29112
452,2,182,4.18996
452,3,408,4.16374
452,4,318,4.09843
452,5,114,4.06256
452,6,56,4.04596
452,7,357,3.97671
452,8,205,3.9695
452,9,172,3.95751
452,10,12,3.94458
514,1,182,4.65282
514,2,56,4.61142
514,3,180,4.53006
514,4,205,4.5225
514,5,223,4.49015
514,6,515,4.47492
514,7,482,4.46293
514,8,207,4.43638
514,9,480,4.43062
514,10,265,4.42496
518,1,169,4.65786
518,2,408,4.58672
518,3,114,4.52692
518,4,182,4.51791
518,5,318,4.47396
518,6,56,4.46471
518,7,483,4.41159
518,8,174,4.40547
518,9,205,4.39772
518,10,180,4.367
532,1,169,4.52388
532,2,408,4.49266
532,3,114,4.44607
532,4,318,4.40479
532,5,182,4.40472
532,6,483,4.38757
532,7,56,4.38497
532,8,205,4.33012
532,9,173,4.29559
532,10,98,4.2861
543,1,408,4.46209
543,2,182,4.39518
543,3,205,4.30778
543,4,189,4.26655
543,5,483,4.25047
543,6,173,4.24842
543,7,172,4.23442
543,8,482,4.22338
543,9,223,4.21395
543,10,209,4.18182
554,1,169,4.65786
554,2,408,4.58672
554,3,114,4.52692
554,4,182,4.51791
554,5,318,4.47396
554,6,56,4.46471
554,7,483,4.41159
554,8,174,4.40547
554,9,205,4.39772
554,10,180,4.367
593,1,408,4.65165
593,2,169,4.62343
593,3,182,4.55754
593,4,114,4.53233
593,5,483,4.52082
593,6,180,4.45364
593,7,205,4.42954
593,8,127,4.40926
593,9,64,4.39764
593,10,173,4.35834
601,1,169,4.65786
601,2,408,4.58672
601,3,114,4.52692
601,4,182,4.51791
601,5,318,4.47396
601,6,56,4.46471
601,7,483,4.41159
601,8,174,4.40547
601,9,205,4.39772
601,10,180,4.367
638,1,169,4.65786
638,2,408,4.58672
638,3,114,4.52692
638,4,182,4.51791
638,5,318,4.47396
638,6,56,4.46471
638,7,483,4.41159
638,8,174,4.40547
638,9,205,4.39772
638,10,180,4.367
647,1,169,4.65786
647,2,408,4.58672
647,3,114,4.52692
647,4,182,4.51791
647,5,318,4.47396
647,6,56,4.46471
647,7,483,4.41159
647,8,174,4.40547
647,9,205,4.39772
647,10,180,4.367
664,1,169,4.65786
664,2,408,4.58672
664,3,114,4.52692
664,4,182,4.51791
664,5,318,4.47396
664,6,56,4.46471
664,7,483,4.41159
664,8,174,4.40547
664,9,205,4.39772
664,10,180,4.367
680,1,169,4.65786
680,2,408,4.58672
680,3,114,4.52692
680,4,182,4.51791
680,5,318,4.47396
680,6,56,4.46471
680,7,483,4.41159
680,8,174,4.40547
680,9,205,4.39772
680,10,180,4.367
689,1,169,4.65786
689,2,408,4.58672
689,3,114,4.52692
689,4,182,4.51791
689,5,318,4.47396
689,6,56,4.46471
689,7,483,4.41159
689,8,174,4.40547
689,9,205,4.39772
689,10,180,4.367
711,1,169,4.54119
711,2,408,4.4757
711,3,182,4.44313
711,4,114,4.4099
711,5,318,4.39176
711,6,56,4.38255
711,7,483,4.35113
711,8,205,4.29575
711,9,174,4.29247
711,10,180,4.28097
712,1,169,4.79221
712,2,408,4.73782
712,3,318,4.70229
712,4,182,4.69936
712,5,114,4.69705
712,6,205,4.64019
712,7,483,4.63044
712,8,56,4.59273
712,9,98,4.59075
712,10,357,4.56617
735,1,169,4.65786
735,2,408,4.58672
735,3,114,4.52692
735,4,182,4.51791
735,5,318,4.47396
735,6,56,4.46471
735,7,483,4.41159
735,8,174,4.40547
735,9,205,4.39772
735,10,180,4.367
764,1,169,4.65786
764,2,408,4.58672
764,3,114,4.52692
764,4,182,4.51791
764,5,318,4.47396
764,6,56,4.46471
764,7,483,4.41159
764,8,174,4.40547
764,9,205,4.39772
764,10,180,4.367
770,1,169,5.27083
770,2,408,5.174
770,3,114,5.14765
770,4,182,5.12153
770,5,56,5.04191
770,6,12,5.02242
770,7,318,5.02092
770,8,189,4.9813
770,9,174,4.96881
770,10,205,4.95418
772,1,169,4.65786
772,2,408,4.58672
772,3,114,4.52692
772,4,182,4.51791
772,5,318,4.47396
772,6,56,4.46471
772,7,483,4.41159
772,8,174,4.40547
772,9,205,4.39772
772,10,180,4.367
860,1,169,4.6197
860,2,408,4.55476
860,3,114,4.54247
860,4,182,4.53893
860,5,483,4.46455
860,6,56,4.456
860,7,318,4.43942
860,8,98,4.34706
860,9,174,4.34669
860,10,173,4.34486
870,1,169,4.72386
870,2,408,4.66816
870,3,182,4.63251
870,4,114,4.61886
870,5,483,4.52797
870,6,205,4.49062
870,7,173,4.46832
870,8,98,4.46284
870,9,64,4.43791
870,10,482,4.40239
875,1,169,4.65786
875,2,408,4.58672
875,3,114,4.52692
875,4,182,4.51791
875,5,318,4.47396
