feature,count,missing,min,q25,median,q75,max,mean,std,iqr_outliers
"alcohol",141,0,11.029999999999999,12.34,13.029999999999999,13.68,14.83,12.977092198581561,0.82020369292170381,0
"malic_acid",141,0,0.73999999999999999,1.6100000000000001,1.8300000000000001,3.1000000000000001,5.6500000000000004,2.3131205673758886,1.0866064910143745,1
"ash",141,0,1.7,2.23,2.3599999999999999,2.5600000000000001,3.23,2.3718439716312054,0.26401322456904824,4
"alcalinity",141,0,11.199999999999999,17,19.5,21.5,30,19.539007092198585,3.4383686765642314,3
"magnesium",141,0,70,88,98,107,162,99.907801418439718,14.701232982121203,4
"total_phenols",141,0,0.97999999999999998,1.74,2.2999999999999998,2.8500000000000001,3.8799999999999999,2.2971631205673755,0.63256914654820973,0
"flavanoids",141,0,0.34000000000000002,1.22,2.1099999999999999,2.8900000000000001,5.0800000000000001,2.0254609929078007,0.99779080453429658,0
"nonflavanoid_phenols",141,0,0.13,0.26000000000000001,0.34000000000000002,0.45000000000000001,0.66000000000000003,0.36035460992907803,0.12635877855718955,0
"proanthocyanins",141,0,0.40999999999999998,1.1499999999999999,1.54,1.8700000000000001,3.5800000000000001,1.5770212765957443,0.59261859654059645,3
"color_intensity",141,0,1.28,3.21,4.6799999999999997,6.0999999999999996,13,4.975815595744681,2.2345806107814026,2
"hue",141,0,0.54000000000000004,0.78000000000000003,0.95999999999999996,1.1200000000000001,1.71,0.95521985815602861,0.22407721225609298,1
"od280",141,0,1.27,1.9299999999999999,2.7799999999999998,3.1699999999999999,4,2.5965248226950348,0.70595942042340032,0
"proline",141,0,315,510,660,985,1547,746.18439716312059,299.31004828568393,0
