feature,count,missing,min,q25,median,q75,max,mean,std,iqr_outliers
"radius_mean",454,0,6.9809999999999999,11.7425,13.359999999999999,16.057500000000001,28.109999999999999,14.175196035242292,3.5101492373713454,10
"texture_mean",454,0,10.720000000000001,16.342500000000001,18.984999999999999,21.907499999999999,39.280000000000001,19.482775330396471,4.3948938391060768,7
"perimeter_mean",454,0,43.789999999999999,75.58250000000001,86.109999999999999,105.55,188.5,92.314779735682791,24.178160610396823,11
"area_mean",454,0,143.5,423.07499999999999,548.75,795.47499999999991,2499,658.39140969162986,349.47418002378816,19
"smoothness_mean",454,0,0.065759999999999999,0.086754999999999999,0.096425000000000011,0.1061,0.16339999999999999,0.09683453744493388,0.013865676972791341,3
"compactness_mean",454,0,0.023439999999999999,0.065814999999999999,0.095274999999999999,0.1313,0.34539999999999998,0.10571832599118951,0.052545949280072481,11
"concavity_mean",454,0,0,0.029950000000000001,0.062649999999999997,0.13447500000000001,0.42680000000000001,0.090993884801762154,0.080529832113641259,13
"concave_points_mean",454,0,0,0.020692499999999999,0.033950000000000001,0.0746975,0.20119999999999999,0.049900008810572674,0.038938730460005073,9
"symmetry_mean",454,0,0.106,0.162025,0.17995,0.19667500000000002,0.30399999999999999,0.18170682819383266,0.027799386296929327,14
"fractal_dimension_mean",454,0,0.049959999999999997,0.0578025,0.061515,0.066142499999999993,0.097439999999999999,0.062822643171806164,0.0070789278457518466,13
"radius_se",454,0,0.1115,0.2351,0.3276,0.48317500000000002,2.8730000000000002,0.40632621145374448,0.26752151693314469,30
"texture_se",454,0,0.36020000000000002,0.85557499999999997,1.1499999999999999,1.4882500000000001,4.8849999999999998,1.2392707048458145,0.55742474160723343,18
"perimeter_se",454,0,0.77139999999999997,1.6577500000000001,2.3090000000000002,3.3660000000000001,21.98,2.8681356828193847,1.9314213824000024,30
"area_se",454,0,6.8019999999999996,18.067499999999999,24.699999999999999,45.480000000000004,525.60000000000002,39.977848017621127,41.185419289418235,50
"smoothness_se",454,0,0.0017129999999999999,0.0052754999999999998,0.0064085000000000001,0.008262499999999999,0.031130000000000001,0.0071378722466960386,0.0030634983991882337,24
"compactness_se",454,0,0.0030119999999999999,0.013702499999999999,0.021000000000000001,0.033382500000000002,0.13539999999999999,0.026103325991189426,0.018117016201690608,22
"concavity_se",454,0,0,0.015292500000000001,0.026335000000000001,0.042637499999999995,0.39600000000000002,0.032781873568281931,0.031523785935966803,18
"concave_points_se",454,0,0,0.007980000000000001,0.011115,0.01477,0.052789999999999997,0.012008726872246701,0.0061005643795627451,17
"symmetry_se",454,0,0.0078820000000000001,0.015219999999999999,0.018794999999999999,0.0230875,0.078950000000000006,0.020663497797356829,0.0084897828902229834,25
"fractal_dimension_se",454,0,0.00089479999999999996,0.0022672500000000002,0.0032935,0.0045599999999999998,0.029839999999999998,0.003841510572687226,0.0026762093474842789,23
"radius_worst",454,0,7.9299999999999997,13.0625,14.965,19.1525,33.130000000000003,16.314524229074884,4.7695726877637892,8
"texture_worst",454,0,12.49,21.407499999999999,25.469999999999999,30.359999999999999,49.539999999999999,25.95262114537443,6.1983348945018033,4
"perimeter_worst",454,0,50.409999999999997,84.492500000000007,97.664999999999992,126.85000000000001,229.30000000000001,107.5947136563877,33.065113664678293,10
"area_worst",454,0,185.19999999999999,518.70000000000005,683.95000000000005,1116.25,3432,881.5929515418502,552.10160025015091,21
"smoothness_worst",454,0,0.071169999999999997,0.118325,0.13155,0.1464,0.22259999999999999,0.13325590308370033,0.022518721793940658,6
"compactness_worst",454,0,0.027289999999999998,0.14912500000000001,0.21655000000000002,0.34190000000000004,1.0580000000000001,0.25837079295154186,0.15771645699717352,12
"concavity_worst",454,0,0,0.120225,0.22620000000000001,0.39387499999999998,1.252,0.27750892290748885,0.21170426848389295,10
"concave_points_worst",454,0,0,0.065449999999999994,0.1011,0.1651,0.29099999999999998,0.11616321585903085,0.064963938524392015,0
"symmetry_worst",454,0,0.1565,0.25024999999999997,0.28164999999999996,0.3196,0.66379999999999995,0.2910911894273131,0.063432245665869483,19
"fractal_dimension_worst",454,0,0.055039999999999999,0.071927500000000005,0.080245000000000011,0.092082500000000012,0.20749999999999999,0.084164537444933948,0.018192131356392673,21
