feature,count,missing,min,q25,median,q75,max,mean,std,iqr_outliers
"age",240,0,19,38.75,50,59,79,48.454166666666666,12.673051433608592,0
"sex",240,0,1,1,2,2,2,1.5041666666666667,0.49998263858746939,0
"bmi",240,0,18,23.075000000000003,25.550000000000001,28.725000000000001,42.200000000000003,26.239583333333353,4.2865166308307838,3
"bp",240,0,62,85,93,105,133,94.727666666666664,13.73378378508832,0
"s1",240,0,97,162,184,207,301,187.38333333333333,36.019250254397136,6
"s2",240,0,41.600000000000001,93.400000000000006,111,133.15000000000001,242.40000000000001,114.21374999999998,31.812078721834048,5
"s3",240,0,22,41,49,58,99,49.889583333333334,12.207293577736861,3
"s4",240,0,2,3,4,5,9.0899999999999999,4.0047083333333324,1.2208753341751255,1
"s5",240,0,3.2581000000000002,4.2484999999999999,4.585,4.9505499999999998,6.1070000000000002,4.6097766666666624,0.52800703755305722,4
"s6",240,0,58,84,92,98,124,91.4375,11.516485014245159,6
