feature,count,missing,min,q25,median,q75,max,mean,std,iqr_outliers
"age",320,0,19,38,50,59,75,48.649999999999999,13.079659781508088,0
"sex",320,0,1,1,1,2,2,1.4875,0.49984372557830625,0
"bmi",320,0,18,23.100000000000001,25.550000000000001,28.725000000000001,42.200000000000003,26.124062500000008,4.3387731268290297,6
"bp",320,0,62,85,93,104,133,94.570812499999988,13.862702026114667,1
"s1",320,0,97,164,187,212.25,301,190.09999999999999,35.381615989098044,2
"s2",320,0,43.399999999999999,96.5,113.69999999999999,138.29999999999998,242.40000000000001,116.44187499999994,30.87425094612621,2
"s3",320,0,22,41,49,58,99,50.165624999999999,12.91586014787149,7
"s4",320,0,2,3,4,5,9.0899999999999999,4.0485624999999992,1.2507571941003386,1
"s5",320,0,3.2581000000000002,4.2766999999999999,4.585,4.9715249999999997,6.1070000000000002,4.6263140624999961,0.51699969410870694,5
"s6",320,0,58,84,91,97,124,90.828125,11.414840515065245,12
